 #  Z/R                U/pie0RV2                  C/pie0R
   0.10000  5.6658491E+03  1.1331698E+04
   0.15000  5.6654228E+03  1.1330846E+04
   0.20000  5.6650243E+03  1.1330049E+04
   0.25000  5.6646457E+03  1.1329291E+04
   0.30000  5.6642820E+03  1.1328564E+04
   0.35000  5.6639299E+03  1.1327860E+04
   0.40000  5.6635872E+03  1.1327174E+04
   0.45000  5.6632523E+03  1.1326505E+04
   0.50000  5.6629238E+03  1.1325848E+04
   0.55000  5.6626009E+03  1.1325202E+04
   0.60000  5.6622828E+03  1.1324566E+04
   0.65000  5.6619689E+03  1.1323938E+04
   0.70000  5.6616587E+03  1.1323317E+04
   0.75000  5.6613518E+03  1.1322704E+04
   0.80000  5.6610479E+03  1.1322096E+04
   0.85000  5.6607466E+03  1.1321493E+04
   0.90000  5.6604478E+03  1.1320896E+04
   0.95000  5.6601512E+03  1.1320302E+04
   1.00000  5.6598567E+03  1.1319713E+04
