  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.50000E+00    0.50000E+00     1     1     1
    0.10000E+01    0.50000E+00     2     1     1
    0.15000E+01    0.50000E+00     3     1     1
    0.20000E+01    0.50000E+00     4     1     1
    0.25000E+01    0.50000E+00     5     1     1
    0.30000E+01    0.50000E+00     6     1     1
    0.35000E+01    0.50000E+00     7     1     1
    0.40000E+01    0.50000E+00     8     1     1
    0.45000E+01    0.50000E+00     9     1     1
    0.50000E+01    0.50000E+00    10     1     1
    0.55000E+01    0.10000E+01    11     2     1
    0.60000E+01    0.10000E+01    12     2     1
    0.65000E+01    0.10000E+01    13     2     1
    0.70000E+01    0.10000E+01    14     2     1
    0.75000E+01    0.10000E+01    15     2     1
    0.80000E+01    0.15000E+01    16     3     1
    0.85000E+01    0.15000E+01    17     3     1
    0.90000E+01    0.15000E+01    18     3     1
    0.95000E+01    0.20000E+01    19     4     1
    0.10000E+02    0.20000E+01    20     4     1
    0.10500E+02    0.20000E+01    21     4     1
    0.11000E+02    0.25000E+01    22     5     1
    0.11500E+02    0.25000E+01    23     5     1
    0.12000E+02    0.30000E+01    24     6     1
    0.12500E+02    0.30000E+01    25     6     1
    0.13000E+02    0.30000E+01    26     6     1
    0.13500E+02    0.35000E+01    27     7     1
    0.14000E+02    0.35000E+01    28     7     1
    0.14500E+02    0.40000E+01    29     8     1
    0.15000E+02    0.45000E+01    30     9     1
    0.15500E+02    0.45000E+01    31     9     1
    0.16000E+02    0.50000E+01    32    10     1
    0.16500E+02    0.50000E+01    33    10     1
    0.17000E+02    0.55000E+01    34    11     1
    0.17500E+02    0.60000E+01    35    12     1
    0.18000E+02    0.60000E+01    36    12     1
    0.18500E+02    0.65000E+01    37    13     1
    0.19000E+02    0.70000E+01    38    14     1
    0.19500E+02    0.75000E+01    39    15     1
    0.20000E+02    0.80000E+01    40    16     1
    0.20500E+02    0.85000E+01    41    17     1
    0.21000E+02    0.90000E+01    42    18     1
    0.21500E+02    0.95000E+01    43    19     1
    0.22000E+02    0.10000E+02    44    20     1
    0.22500E+02    0.10500E+02    45    21     1
    0.23000E+02    0.11000E+02    46    22     1
    0.23500E+02    0.11500E+02    47    23     1
    0.24000E+02    0.12000E+02    48    24     1
    0.24500E+02    0.13000E+02    49    26     1
    0.25000E+02    0.13500E+02    50    27     1
    0.25473E+02    0.14500E+02    51    29     1
    0.25951E+02    0.15000E+02    52    30     1
    0.26435E+02    0.16000E+02    53    32     1
    0.26923E+02    0.17000E+02    54    34     1
    0.27416E+02    0.18000E+02    55    36     1
    0.27915E+02    0.19500E+02    56    39     1
    0.28419E+02    0.20500E+02    57    41     1
    0.28929E+02    0.22500E+02    58    45     1
    0.29443E+02    0.24500E+02    59    49     1
    0.29964E+02    0.28929E+02    60    58     1






    0.29964E+02    0.31558E+02    60    63     1
    0.29443E+02    0.36063E+02    59    71     1
    0.28929E+02    0.38463E+02    58    75     1
    0.28419E+02    0.39701E+02    57    77     1
    0.27915E+02    0.41608E+02    56    80     1
    0.27416E+02    0.42257E+02    55    81     1
    0.26923E+02    0.43576E+02    54    83     1
    0.26435E+02    0.44246E+02    53    84     1
    0.25951E+02    0.45608E+02    52    86     1
    0.25473E+02    0.46299E+02    51    87     1
    0.25000E+02    0.46998E+02    50    88     1
    0.24500E+02    0.47704E+02    49    89     1
    0.24000E+02    0.48418E+02    48    90     1
    0.23500E+02    0.49140E+02    47    91     1
    0.23000E+02    0.49869E+02    46    92     1
    0.22500E+02    0.49869E+02    45    92     1
    0.22000E+02    0.50605E+02    44    93     1
    0.21500E+02    0.51350E+02    43    94     1
    0.21000E+02    0.52102E+02    42    95     1
    0.20500E+02    0.52102E+02    41    95     1
    0.20000E+02    0.52863E+02    40    96     1
    0.19500E+02    0.52863E+02    39    96     1
    0.19000E+02    0.53631E+02    38    97     1
    0.18500E+02    0.53631E+02    37    97     1
    0.18000E+02    0.54408E+02    36    98     1
    0.17500E+02    0.54408E+02    35    98     1
    0.17000E+02    0.55193E+02    34    99     1
    0.16500E+02    0.55193E+02    33    99     1
    0.16000E+02    0.55986E+02    32   100     1
    0.15500E+02    0.55986E+02    31   100     1
    0.15000E+02    0.55986E+02    30   100     1
    0.14500E+02    0.56787E+02    29   101     1
    0.14000E+02    0.56787E+02    28   101     1
    0.13500E+02    0.57598E+02    27   102     1
    0.13000E+02    0.57598E+02    26   102     1
    0.12500E+02    0.57598E+02    25   102     1
    0.12000E+02    0.57598E+02    24   102     1
    0.11500E+02    0.58416E+02    23   103     1
    0.11000E+02    0.58416E+02    22   103     1
    0.10500E+02    0.58416E+02    21   103     1
    0.10000E+02    0.58416E+02    20   103     1
    0.95000E+01    0.59244E+02    19   104     1
