 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0188470E+03  2.0376939E+03
   5.06667  2.4215812E+22  4.8431625E+22
   5.13333  1.0186118E+03  2.0372236E+03
   5.20000  2.3289718E+22  4.6579435E+22
   5.26667  2.3797771E+22  4.7595543E+22
   5.33333  2.3787346E+22  4.7574692E+22
   5.40000  2.3287966E+22  4.6575933E+22
   5.46667  2.1548400E+22  4.3096799E+22
   5.53333  2.1223579E+22  4.2447159E+22
   5.60000  2.2984616E+22  4.5969232E+22
   5.66667  2.4274179E+22  4.8548357E+22
   5.73333  2.3687025E+22  4.7374050E+22
   5.80000  2.3403849E+22  4.6807698E+22
   5.86667  2.2941328E+22  4.5882655E+22
   5.93333  2.2963642E+22  4.5927285E+22
   6.00000  2.3095476E+22  4.6190952E+22
   6.06667  2.2426628E+22  4.4853256E+22
   6.13333  2.2800000E+22  4.5600000E+22
   6.20000  1.0167827E+03  2.0335654E+03
   6.26667  2.2253458E+22  4.4506916E+22
   6.33333  2.2417925E+22  4.4835851E+22
   6.40000  2.2261155E+22  4.4522309E+22
   6.46667  2.2184315E+22  4.4368631E+22
   6.53333  2.2315278E+22  4.4630555E+22
   6.60000  2.1208556E+22  4.2417112E+22
   6.66667  2.1422045E+22  4.2844089E+22
   6.73333  2.1922056E+22  4.3844112E+22
   6.80000  2.1151396E+22  4.2302793E+22
   6.86667  2.2490275E+22  4.4980549E+22
   6.93333  2.2161409E+22  4.4322818E+22
   7.00000  2.2195986E+22  4.4391972E+22
   7.06667  2.2265148E+22  4.4530297E+22
   7.13333  2.1750908E+22  4.3501816E+22
   7.20000  2.2946137E+22  4.5892274E+22
   7.26667  1.0150332E+03  2.0300664E+03
   7.33333  2.2374776E+22  4.4749552E+22
   7.40000  2.1504986E+22  4.3009971E+22
   7.46667  2.2326753E+22  4.4653506E+22
   7.53333  2.1743136E+22  4.3486272E+22
   7.60000  2.1391932E+22  4.2783863E+22
   7.66667  2.1663101E+22  4.3326202E+22
   7.73333  2.1954647E+22  4.3909295E+22
   7.80000  2.1963341E+22  4.3926681E+22
   7.86667  2.1789289E+22  4.3578578E+22
   7.93333  2.1744929E+22  4.3489859E+22
   8.00000  2.1439555E+22  4.2879109E+22
   8.06667  2.1442516E+22  4.2885032E+22
   8.13333  2.0841911E+22  4.1683822E+22
   8.20000  1.9369514E+22  3.8739028E+22
   8.26667  2.3302395E+22  4.6604790E+22
   8.33333  2.4646122E+22  4.9292244E+22
