 #  Z/R                U/pie0RV2                  C/pie0R
   0.10000  5.6674390E+03  1.1334878E+04
   0.15000  5.6668406E+03  1.1333681E+04
   0.20000  5.6663341E+03  1.1332668E+04
   0.25000  5.6658808E+03  1.1331762E+04
   0.30000  5.6654622E+03  1.1330924E+04
   0.35000  5.6650679E+03  1.1330136E+04
   0.40000  5.6646917E+03  1.1329383E+04
   0.45000  5.6643293E+03  1.1328659E+04
   0.50000  5.6639781E+03  1.1327956E+04
   0.55000  5.6636359E+03  1.1327272E+04
   0.60000  5.6633012E+03  1.1326602E+04
   0.65000  5.6629728E+03  1.1325946E+04
   0.70000  5.6626499E+03  1.1325300E+04
   0.75000  5.6623317E+03  1.1324663E+04
   0.80000  5.6620177E+03  1.1324035E+04
   0.85000  5.6617074E+03  1.1323415E+04
   0.90000  5.6614003E+03  1.1322801E+04
   0.95000  5.6610962E+03  1.1322192E+04
   1.00000  5.6607948E+03  1.1321590E+04
