    5.0000   -0.135E+00150.00   -0.450215E-02 1500.00   -0.875528E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.514E+01152.00    0.171468E+00 1520.00    0.333451E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.131E+00154.00   -0.436323E-02 1540.00   -0.848512E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.500E+01156.00    0.166761E+00 1560.00    0.324298E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.488E+01158.00    0.162528E+00 1580.00    0.316067E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.482E+01160.00    0.160522E+00 1600.00    0.312165E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.475E+01162.00    0.158426E+00 1620.00    0.308089E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.471E+01164.00    0.156953E+00 1640.00    0.305225E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.458E+01166.00    0.152568E+00 1660.00    0.296697E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.454E+01168.00    0.151429E+00 1680.00    0.294483E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.450E+01170.00    0.150019E+00 1700.00    0.291740E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.441E+01172.00    0.147156E+00 1720.00    0.286172E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.435E+01174.00    0.144992E+00 1740.00    0.281965E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.430E+01176.00    0.143292E+00 1760.00    0.278658E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.422E+01178.00    0.140633E+00 1780.00    0.273487E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.415E+01180.00    0.138317E+00 1800.00    0.268984E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667    0.410E+01182.00    0.136568E+00 1820.00    0.265582E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333    0.405E+01184.00    0.135095E+00 1840.00    0.262719E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.105E+00186.00   -0.348855E-02 1860.00   -0.678414E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667    0.394E+01188.00    0.131403E+00 1880.00    0.255538E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333    0.391E+01190.00    0.130307E+00 1900.00    0.253407E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000    0.386E+01192.00    0.128667E+00 1920.00    0.250218E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667    0.380E+01194.00    0.126668E+00 1940.00    0.246329E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333    0.376E+01196.00    0.125233E+00 1960.00    0.243538E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000    0.374E+01198.00    0.124822E+00 1980.00    0.242740E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667    0.371E+01200.00    0.123660E+00 2000.00    0.240480E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333    0.362E+01202.00    0.120741E+00 2020.00    0.234804E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000    0.357E+01204.00    0.118987E+00 2040.00    0.231393E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667    0.355E+01206.00    0.118283E+00 2060.00    0.230023E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333    0.350E+01208.00    0.116639E+00 2080.00    0.226826E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000    0.344E+01210.00    0.114723E+00 2100.00    0.223102E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
