 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0236282E+03  2.0472563E+03
   5.06667  3.8883936E+23  7.7767871E+23
   5.13333  1.0233917E+03  2.0467834E+03
   5.20000  3.9834347E+23  7.9668694E+23
   5.26667  4.0028938E+23  8.0057875E+23
   5.33333  4.0304867E+23  8.0609734E+23
   5.40000  4.1197799E+23  8.2395597E+23
   5.46667  4.1459177E+23  8.2918353E+23
   5.53333  3.1610110E+23  6.3220220E+23
   5.60000  3.6134372E+23  7.2268744E+23
   5.66667  3.8307902E+23  7.6615803E+23
   5.73333  4.0008020E+23  8.0016041E+23
   5.80000  3.9349696E+23  7.8699393E+23
   5.86667  3.9576610E+23  7.9153221E+23
   5.93333  3.9289621E+23  7.8579242E+23
   6.00000  3.9317260E+23  7.8634519E+23
   6.06667  3.8435896E+23  7.6871792E+23
   6.13333  3.9295852E+23  7.8591704E+23
   6.20000  1.0215527E+03  2.0431054E+03
   6.26667  3.7709846E+23  7.5419692E+23
   6.33333  3.7699323E+23  7.5398647E+23
   6.40000  3.8498405E+23  7.6996809E+23
   6.46667  3.9165807E+23  7.8331614E+23
   6.53333  3.8519596E+23  7.7039191E+23
   6.60000  3.8771251E+23  7.7542501E+23
   6.66667  3.3799827E+23  6.7599655E+23
   6.73333  3.5998336E+23  7.1996672E+23
   6.80000  3.6923093E+23  7.3846186E+23
   6.86667  3.8174979E+23  7.6349959E+23
   6.93333  3.7590414E+23  7.5180828E+23
   7.00000  3.8656643E+23  7.7313286E+23
   7.06667  3.8217624E+23  7.6435248E+23
   7.13333  3.5051570E+23  7.0103141E+23
   7.20000  3.6754905E+23  7.3509810E+23
   7.26667  3.9219187E+23  7.8438375E+23
   7.33333  1.0196862E+03  2.0393724E+03
   7.40000  3.6077782E+23  7.2155565E+23
   7.46667  3.6380928E+23  7.2761856E+23
   7.53333  3.7515127E+23  7.5030255E+23
   7.60000  3.6876829E+23  7.3753657E+23
   7.66667  3.7340495E+23  7.4680989E+23
   7.73333  3.6238001E+23  7.2476002E+23
   7.80000  3.6658173E+23  7.3316346E+23
   7.86667  3.6558137E+23  7.3116273E+23
   7.93333  3.7261849E+23  7.4523698E+23
   8.00000  3.7592143E+23  7.5184285E+23
   8.06667  3.7929728E+23  7.5859457E+23
   8.13333  3.8670481E+23  7.7340961E+23
   8.20000  3.8921189E+23  7.7842378E+23
   8.26667  3.6858033E+23  7.3716066E+23
   8.33333  3.7538321E+23  7.5076643E+23
