 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0184870E+03  2.0369739E+03
   5.06667  3.5895921E+23  7.1791842E+23
   5.13333  1.0182511E+03  2.0365022E+03
   5.20000  3.6657115E+23  7.3314231E+23
   5.26667  3.6770742E+23  7.3541484E+23
   5.33333  3.6611177E+23  7.3222354E+23
   5.40000  3.6528081E+23  7.3056162E+23
   5.46667  3.5790752E+23  7.1581505E+23
   5.53333  3.0842203E+23  6.1684406E+23
   5.60000  3.4672669E+23  6.9345338E+23
   5.66667  3.5863297E+23  7.1726595E+23
   5.73333  3.7082957E+23  7.4165913E+23
   5.80000  3.6259051E+23  7.2518102E+23
   5.86667  3.6200831E+23  7.2401662E+23
   5.93333  3.5930119E+23  7.1860239E+23
   6.00000  3.5860835E+23  7.1721669E+23
   6.06667  3.4962772E+23  6.9925545E+23
   6.13333  3.5550616E+23  7.1101233E+23
   6.20000  1.0164169E+03  2.0328339E+03
   6.26667  3.4416403E+23  6.8832805E+23
   6.33333  3.4175144E+23  6.8350289E+23
   6.40000  3.4826991E+23  6.9653982E+23
   6.46667  3.5255705E+23  7.0511411E+23
   6.53333  3.4616376E+23  6.9232752E+23
   6.60000  3.4793203E+23  6.9586406E+23
   6.66667  3.1999253E+23  6.3998505E+23
   6.73333  3.3192212E+23  6.6384425E+23
   6.80000  3.3867029E+23  6.7734059E+23
   6.86667  3.4888092E+23  6.9776185E+23
   6.93333  3.4334914E+23  6.8669828E+23
   7.00000  3.5106640E+23  7.0213280E+23
   7.06667  3.4767906E+23  6.9535812E+23
   7.13333  3.2807333E+23  6.5614667E+23
   7.20000  3.3785734E+23  6.7571468E+23
   7.26667  3.5680187E+23  7.1360373E+23
   7.33333  1.0145555E+03  2.0291110E+03
   7.40000  3.3393376E+23  6.6786751E+23
   7.46667  3.3367645E+23  6.6735290E+23
   7.53333  3.4659820E+23  6.9319639E+23
   7.60000  3.3817817E+23  6.7635634E+23
   7.66667  3.4671276E+23  6.9342553E+23
   7.73333  3.3270683E+23  6.6541366E+23
   7.80000  3.3588240E+23  6.7176480E+23
   7.86667  3.3326237E+23  6.6652474E+23
   7.93333  3.3775639E+23  6.7551279E+23
   8.00000  3.3733137E+23  6.7466274E+23
   8.06667  3.3403282E+23  6.6806564E+23
   8.13333  3.3135383E+23  6.6270766E+23
   8.20000  3.2171833E+23  6.4343665E+23
   8.26667  2.9100862E+23  5.8201725E+23
   8.33333  3.3514212E+23  6.7028424E+23
