 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0188464E+03  2.0376927E+03
   5.06667  1.1503674E+22  2.3007349E+22
   5.13333  1.0186112E+03  2.0372224E+03
   5.20000  1.1738693E+22  2.3477385E+22
   5.26667  1.1771923E+22  2.3543846E+22
   5.33333  1.1697615E+22  2.3395229E+22
   5.40000  1.1632864E+22  2.3265728E+22
   5.46667  1.1299226E+22  2.2598451E+22
   5.53333  9.5655106E+21  1.9131021E+22
   5.60000  1.1271716E+22  2.2543433E+22
   5.66667  1.1559361E+22  2.3118721E+22
   5.73333  1.1901387E+22  2.3802775E+22
   5.80000  1.1607056E+22  2.3214112E+22
   5.86667  1.1581978E+22  2.3163956E+22
   5.93333  1.1479241E+22  2.2958481E+22
   6.00000  1.1454787E+22  2.2909574E+22
   6.06667  1.1177969E+22  2.2355938E+22
   6.13333  1.1350084E+22  2.2700168E+22
   6.20000  1.0167821E+03  2.0335643E+03
   6.26667  1.1015630E+22  2.2031260E+22
   6.33333  1.0924200E+22  2.1848400E+22
   6.40000  1.1118901E+22  2.2237802E+22
   6.46667  1.1250749E+22  2.2501498E+22
   6.53333  1.1027580E+22  2.2055160E+22
   6.60000  1.1032795E+22  2.2065589E+22
   6.66667  1.0277297E+22  2.0554593E+22
   6.73333  1.0661098E+22  2.1322196E+22
   6.80000  1.0860504E+22  2.1721009E+22
   6.86667  1.1162059E+22  2.2324117E+22
   6.93333  1.0979471E+22  2.1958942E+22
   7.00000  1.1227492E+22  2.2454984E+22
   7.06667  1.1095830E+22  2.2191659E+22
   7.13333  1.0496456E+22  2.0992913E+22
   7.20000  1.0831026E+22  2.1662052E+22
   7.26667  1.1367319E+22  2.2734639E+22
   7.33333  1.0149256E+03  2.0298512E+03
   7.40000  1.0695536E+22  2.1391072E+22
   7.46667  1.0687765E+22  2.1375530E+22
   7.53333  1.1075816E+22  2.2151632E+22
   7.60000  1.0833533E+22  2.1667066E+22
   7.66667  1.1063531E+22  2.2127062E+22
   7.73333  1.0640872E+22  2.1281743E+22
   7.80000  1.0740465E+22  2.1480929E+22
   7.86667  1.0630556E+22  2.1261113E+22
   7.93333  1.0777099E+22  2.1554198E+22
   8.00000  1.0739741E+22  2.1479481E+22
   8.06667  1.0608113E+22  2.1216226E+22
   8.13333  1.0469910E+22  2.0939821E+22
   8.20000  1.0052520E+22  2.0105040E+22
   8.26667  8.7897968E+21  1.7579594E+22
   8.33333  1.0636907E+22  2.1273814E+22
