 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  2.1843301E+00  4.3686602E+00
   5.06667  1.1619867E+22  2.3239734E+22
   5.13333  2.1800545E+00  4.3601090E+00
   5.20000  1.1857260E+22  2.3714519E+22
   5.26667  1.1890826E+22  2.3781652E+22
   5.33333  1.1815767E+22  2.3631534E+22
   5.40000  1.1750363E+22  2.3500726E+22
   5.46667  1.1413355E+22  2.2826709E+22
   5.53333  9.6621252E+21  1.9324250E+22
   5.60000  1.1385566E+22  2.2771132E+22
   5.66667  1.1676117E+22  2.3352234E+22
   5.73333  1.2021599E+22  2.4043198E+22
   5.80000  1.1724294E+22  2.3448588E+22
   5.86667  1.1698963E+22  2.3397926E+22
   5.93333  1.1595188E+22  2.3190377E+22
   6.00000  1.1570487E+22  2.3140975E+22
   6.06667  1.1290873E+22  2.2581746E+22
   6.13333  1.1464727E+22  2.2929454E+22
   6.20000  2.1519569E+00  4.3039139E+00
   6.26667  1.1126894E+22  2.2253788E+22
   6.33333  1.1034541E+22  2.2069082E+22
   6.40000  1.1231209E+22  2.2462418E+22
   6.46667  1.1364389E+22  2.2728777E+22
   6.53333  1.1138965E+22  2.2277931E+22
   6.60000  1.1144233E+22  2.2288466E+22
   6.66667  1.0381103E+22  2.0762205E+22
   6.73333  1.0768781E+22  2.1537563E+22
   6.80000  1.0970202E+22  2.1940404E+22
   6.86667  1.1274803E+22  2.2549606E+22
   6.93333  1.1090371E+22  2.2180742E+22
   7.00000  1.1340897E+22  2.2681795E+22
   7.06667  1.1207905E+22  2.2415810E+22
   7.13333  1.0602477E+22  2.1204954E+22
   7.20000  1.0940426E+22  2.1880853E+22
   7.26667  1.1482137E+22  2.2964274E+22
   7.33333  2.1304623E+00  4.2609246E+00
   7.40000  1.0803568E+22  2.1607136E+22
   7.46667  1.0795718E+22  2.1591437E+22
   7.53333  1.1187690E+22  2.2375379E+22
   7.60000  1.0942959E+22  2.1885919E+22
   7.66667  1.1175281E+22  2.2350562E+22
   7.73333  1.0748352E+22  2.1496704E+22
   7.80000  1.0848951E+22  2.1697902E+22
   7.86667  1.0737933E+22  2.1475865E+22
   7.93333  1.0885956E+22  2.1771912E+22
   8.00000  1.0848220E+22  2.1696441E+22
   8.06667  1.0715263E+22  2.1430527E+22
   8.13333  1.0575665E+22  2.1151330E+22
   8.20000  1.0154059E+22  2.0308117E+22
   8.26667  8.8785825E+21  1.7757165E+22
   8.33333  1.0744350E+22  2.1488700E+22
