 #  Z/R                U/pie0RV2                  C/pie0R
   0.10000  5.6568155E+03  1.1313631E+04
   0.15000  5.6565005E+03  1.1313001E+04
   0.20000  5.6561930E+03  1.1312386E+04
   0.25000  5.6558913E+03  1.1311783E+04
   0.30000  5.6555940E+03  1.1311188E+04
   0.35000  5.6553004E+03  1.1310601E+04
   0.40000  5.6550100E+03  1.1310020E+04
   0.45000  5.6547222E+03  1.1309444E+04
   0.50000  5.6544367E+03  1.1308873E+04
   0.55000  5.6541533E+03  1.1308307E+04
   0.60000  5.6538716E+03  1.1307743E+04
   0.65000  5.6535916E+03  1.1307183E+04
   0.70000  5.6533131E+03  1.1306626E+04
   0.75000  5.6530359E+03  1.1306072E+04
   0.80000  5.6527599E+03  1.1305520E+04
   0.85000  5.6524851E+03  1.1304970E+04
   0.90000  5.6522113E+03  1.1304423E+04
   0.95000  5.6519385E+03  1.1303877E+04
   1.00000  5.6516667E+03  1.1303333E+04
