 #  Z/R                U/pie0RV2                  C/pie0R
   0.10000  5.6673301E+03  1.1334660E+04
   0.15000  5.6667513E+03  1.1333503E+04
   0.20000  5.6662556E+03  1.1332511E+04
   0.25000  5.6658090E+03  1.1331618E+04
   0.30000  5.6653950E+03  1.1330790E+04
   0.35000  5.6650041E+03  1.1330008E+04
   0.40000  5.6646304E+03  1.1329261E+04
   0.45000  5.6642701E+03  1.1328540E+04
   0.50000  5.6639205E+03  1.1327841E+04
   0.55000  5.6635796E+03  1.1327159E+04
   0.60000  5.6632460E+03  1.1326492E+04
   0.65000  5.6629186E+03  1.1325837E+04
   0.70000  5.6625966E+03  1.1325193E+04
   0.75000  5.6622791E+03  1.1324558E+04
   0.80000  5.6619657E+03  1.1323931E+04
   0.85000  5.6616560E+03  1.1323312E+04
   0.90000  5.6613494E+03  1.1322699E+04
   0.95000  5.6610458E+03  1.1322092E+04
   1.00000  5.6607448E+03  1.1321490E+04
