  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.50000E+00    0.50000E+00     1     1     1
    0.98317E+00    0.50000E+00     2     1     1
    0.14768E+01    0.50000E+00     3     1     1
    0.19812E+01    0.50000E+00     4     1     1
    0.24965E+01    0.50000E+00     5     1     1
    0.30230E+01    0.50000E+00     6     1     1
    0.35609E+01    0.50000E+00     7     1     1
    0.41105E+01    0.50000E+00     8     1     1
    0.46720E+01    0.50000E+00     9     1     1
    0.52457E+01    0.50000E+00    10     1     1
    0.58318E+01    0.98317E+00    11     2     1
    0.64307E+01    0.98317E+00    12     2     1
    0.70426E+01    0.98317E+00    13     2     1
    0.76677E+01    0.14768E+01    14     3     1
    0.83064E+01    0.14768E+01    15     3     1
    0.89590E+01    0.14768E+01    16     3     1
    0.96257E+01    0.19812E+01    17     4     1
    0.10307E+02    0.19812E+01    18     4     1
    0.11003E+02    0.24965E+01    19     5     1
    0.11714E+02    0.24965E+01    20     5     1
    0.12440E+02    0.30230E+01    21     6     1
    0.13183E+02    0.35609E+01    22     7     1
    0.13941E+02    0.35609E+01    23     7     1
    0.14716E+02    0.41105E+01    24     8     1
    0.15508E+02    0.46720E+01    25     9     1
    0.16316E+02    0.52457E+01    26    10     1
    0.17143E+02    0.58318E+01    27    11     1
    0.17987E+02    0.64307E+01    28    12     1
    0.18850E+02    0.70426E+01    29    13     1
    0.19731E+02    0.76677E+01    30    14     1
    0.20632E+02    0.83064E+01    31    15     1
    0.21552E+02    0.96257E+01    32    17     1
    0.22492E+02    0.10307E+02    33    18     1
    0.23452E+02    0.11714E+02    34    20     1
    0.24433E+02    0.13183E+02    35    22     1
    0.25436E+02    0.14716E+02    36    24     1
    0.26460E+02    0.16316E+02    37    26     1
    0.27506E+02    0.18850E+02    38    29     1
    0.28576E+02    0.21552E+02    39    32     2
    0.29668E+02    0.24433E+02    40    35     2
    0.30784E+02    0.27506E+02    41    38     2
    0.31925E+02    0.30784E+02    42    41     2
    0.33090E+02    0.34280E+02    43    44     2
    0.34280E+02    0.36739E+02    44    46     2
    0.35496E+02    0.40631E+02    45    49     2
    0.36739E+02    0.43368E+02    46    51     2
    0.38008E+02    0.47701E+02    47    54     2
    0.39305E+02    0.50748E+02    48    56     2
    0.40631E+02    0.53930E+02    49    58     2
    0.41985E+02    0.58965E+02    50    61     2
    0.43368E+02    0.62507E+02    51    63     2
    0.44781E+02    0.66204E+02    52    65     2
    0.46225E+02    0.70063E+02    53    67     2
    0.47701E+02    0.74092E+02    54    69     2
    0.49208E+02    0.78297E+02    55    71     2
    0.50748E+02    0.82687E+02    56    73     2
    0.52322E+02    0.87270E+02    57    75     2
    0.53930E+02    0.92053E+02    58    77     2
    0.55572E+02    0.97046E+02    59    79     2
    0.57251E+02    0.99625E+02    60    80     2
    0.58965E+02    0.10495E+03    61    82     2
    0.60717E+02    0.11051E+03    62    84     2
    0.62507E+02    0.11631E+03    63    86     2
    0.64336E+02    0.11931E+03    64    87     2
    0.66204E+02    0.12550E+03    65    89     2
    0.68113E+02    0.13196E+03    66    91     2
    0.70063E+02    0.13529E+03    67    92     2
    0.72056E+02    0.14218E+03    68    94     2
    0.74092E+02    0.14938E+03    69    96     2
    0.76172E+02    0.15309E+03    70    97     2
    0.78297E+02    0.16076E+03    71    99     2
    0.80469E+02    0.16472E+03    72   100     2
    0.82687E+02    0.17290E+03    73   102     2
    0.84954E+02    0.17713E+03    74   103     2
    0.87270E+02    0.18585E+03    75   105     2
    0.89636E+02    0.19036E+03    76   106     2
    0.92053E+02    0.19967E+03    77   108     2
    0.94523E+02    0.20447E+03    78   109     2
    0.97046E+02    0.20938E+03    79   110     2
    0.99625E+02    0.21952E+03    80   112     2
    0.10226E+03    0.22476E+03    81   113     2
    0.10495E+03    0.23557E+03    82   115     2
    0.10770E+03    0.24116E+03    83   116     2
    0.11051E+03    0.24686E+03    84   117     2
