 #  Z/R                U/pie0RV2                  C/pie0R
   3.33333  1.0484524E+03  2.0969048E+03
   3.40000  1.0483068E+03  2.0966136E+03
   3.46667  1.0481619E+03  2.0963237E+03
   3.53333  1.0480176E+03  2.0960352E+03
   3.60000  1.0478739E+03  2.0957479E+03
   3.66667  1.0477309E+03  2.0954619E+03
   3.73333  1.0475886E+03  2.0951771E+03
   3.80000  1.0474468E+03  2.0948935E+03
   3.86667  1.0473056E+03  2.0946111E+03
   3.93333  1.0471649E+03  2.0943298E+03
   4.00000  1.0470248E+03  2.0940497E+03
   4.06667  1.0468853E+03  2.0937706E+03
   4.13333  1.0467463E+03  2.0934926E+03
   4.20000  1.0466079E+03  2.0932157E+03
   4.26667  1.0464699E+03  2.0929398E+03
   4.33333  1.0463324E+03  2.0926649E+03
   4.40000  1.0461955E+03  2.0923910E+03
   4.46667  1.0460590E+03  2.0921180E+03
   4.53333  1.0459230E+03  2.0918460E+03
   4.60000  1.0457875E+03  2.0915749E+03
   4.66667  1.0456524E+03  2.0913048E+03
   4.73333  1.0455178E+03  2.0910355E+03
   4.80000  1.0453836E+03  2.0907671E+03
   4.86667  1.0452498E+03  2.0904996E+03
   4.93333  1.0451165E+03  2.0902329E+03
   5.00000  1.0449835E+03  2.0899671E+03
   5.06667  1.0448510E+03  2.0897021E+03
   5.13333  1.0447189E+03  2.0894379E+03
   5.20000  1.0445872E+03  2.0891745E+03
   5.26667  1.0444559E+03  2.0889118E+03
   5.33333  1.0443250E+03  2.0886500E+03
   5.40000  1.0441944E+03  2.0883889E+03
   5.46667  1.0440643E+03  2.0881285E+03
   5.53333  1.0439345E+03  2.0878689E+03
   5.60000  1.0438050E+03  2.0876100E+03
   5.66667  1.0436759E+03  2.0873519E+03
   5.73333  1.0435472E+03  2.0870944E+03
   5.80000  1.0434188E+03  2.0868376E+03
   5.86667  1.0432908E+03  2.0865815E+03
   5.93333  1.0431631E+03  2.0863261E+03
   6.00000  1.0430357E+03  2.0860714E+03
   6.06667  1.0429086E+03  2.0858173E+03
   6.13333  1.0427819E+03  2.0855638E+03
   6.20000  1.0426555E+03  2.0853110E+03
   6.26667  1.0425294E+03  2.0850589E+03
   6.33333  1.0424037E+03  2.0848073E+03
   6.40000  1.0422782E+03  2.0845564E+03
   6.46667  1.0421530E+03  2.0843061E+03
   6.53333  1.0420282E+03  2.0840563E+03
   6.60000  1.0419036E+03  2.0838072E+03
   6.66667  1.0417793E+03  2.0835587E+03
   6.73333  1.0416554E+03  2.0833107E+03
   6.80000  1.0415317E+03  2.0830633E+03
   6.86667  1.0414083E+03  2.0828165E+03
   6.93333  1.0412851E+03  2.0825702E+03
   7.00000  1.0411623E+03  2.0823245E+03
   7.06667  1.0410397E+03  2.0820794E+03
   7.13333  1.0409174E+03  2.0818347E+03
   7.20000  1.0407953E+03  2.0815907E+03
   7.26667  1.0406736E+03  2.0813471E+03
   7.33333  1.0405520E+03  2.0811041E+03
   7.40000  1.0404308E+03  2.0808616E+03
   7.46667  1.0403098E+03  2.0806196E+03
   7.53333  1.0401890E+03  2.0803781E+03
   7.60000  1.0400685E+03  2.0801371E+03
   7.66667  1.0399483E+03  2.0798966E+03
   7.73333  1.0398283E+03  2.0796566E+03
   7.80000  1.0397085E+03  2.0794171E+03
   7.86667  1.0395890E+03  2.0791780E+03
   7.93333  1.0394697E+03  2.0789395E+03
   8.00000  1.0393507E+03  2.0787014E+03
   8.06667  1.0392319E+03  2.0784638E+03
   8.13333  1.0391133E+03  2.0782267E+03
   8.20000  1.0389950E+03  2.0779900E+03
   8.26667  1.0388769E+03  2.0777537E+03
