 #  Z/R                U/pie0RV2                  C/pie0R
   3.33333  1.0528618E+03  2.1057236E+03
   3.40000  1.0527152E+03  2.1054303E+03
   3.46667  1.0525692E+03  2.1051384E+03
   3.53333  1.0524239E+03  2.1048478E+03
   3.60000  1.0522793E+03  2.1045585E+03
   3.66667  1.0521353E+03  2.1042705E+03
   3.73333  1.0519919E+03  2.1039837E+03
   3.80000  1.0518491E+03  2.1036981E+03
   3.86667  1.0517068E+03  2.1034137E+03
   3.93333  1.0515652E+03  2.1031304E+03
   4.00000  1.0514241E+03  2.1028482E+03
   4.06667  1.0512836E+03  2.1025672E+03
   4.13333  1.0511436E+03  2.1022872E+03
   4.20000  1.0510041E+03  2.1020082E+03
   4.26667  1.0508651E+03  2.1017303E+03
   4.33333  1.0507267E+03  2.1014534E+03
   4.40000  1.0505887E+03  2.1011775E+03
   4.46667  1.0504513E+03  2.1009025E+03
   4.53333  1.0503143E+03  2.1006285E+03
   4.60000  1.0501777E+03  2.1003554E+03
   4.66667  1.0500416E+03  2.1000833E+03
   4.73333  1.0499060E+03  2.0998120E+03
   4.80000  1.0497708E+03  2.0995416E+03
   4.86667  1.0496361E+03  2.0992721E+03
   4.93333  1.0495017E+03  2.0990035E+03
   5.00000  1.0493678E+03  2.0987357E+03
   5.06667  1.0492343E+03  2.0984687E+03
   5.13333  1.0491012E+03  2.0982025E+03
   5.20000  1.0489685E+03  2.0979371E+03
   5.26667  1.0488362E+03  2.0976725E+03
   5.33333  1.0487043E+03  2.0974087E+03
   5.40000  1.0485728E+03  2.0971456E+03
   5.46667  1.0484416E+03  2.0968833E+03
   5.53333  1.0483108E+03  2.0966217E+03
   5.60000  1.0481804E+03  2.0963608E+03
   5.66667  1.0480503E+03  2.0961007E+03
   5.73333  1.0479206E+03  2.0958413E+03
   5.80000  1.0477913E+03  2.0955825E+03
   5.86667  1.0476622E+03  2.0953245E+03
   5.93333  1.0475336E+03  2.0950671E+03
   6.00000  1.0474052E+03  2.0948104E+03
   6.06667  1.0472772E+03  2.0945543E+03
   6.13333  1.0471495E+03  2.0942990E+03
   6.20000  1.0470221E+03  2.0940442E+03
   6.26667  1.0468950E+03  2.0937901E+03
   6.33333  1.0467683E+03  2.0935366E+03
   6.40000  1.0466419E+03  2.0932837E+03
   6.46667  1.0465157E+03  2.0930314E+03
   6.53333  1.0463899E+03  2.0927798E+03
   6.60000  1.0462644E+03  2.0925287E+03
   6.66667  1.0461391E+03  2.0922782E+03
   6.73333  1.0460142E+03  2.0920283E+03
   6.80000  1.0458895E+03  2.0917790E+03
   6.86667  1.0457651E+03  2.0915302E+03
   6.93333  1.0456410E+03  2.0912820E+03
   7.00000  1.0455172E+03  2.0910344E+03
   7.06667  1.0453937E+03  2.0907873E+03
   7.13333  1.0452704E+03  2.0905408E+03
   7.20000  1.0451474E+03  2.0902947E+03
   7.26667  1.0450246E+03  2.0900493E+03
   7.33333  1.0449022E+03  2.0898043E+03
   7.40000  1.0447799E+03  2.0895599E+03
   7.46667  1.0446580E+03  2.0893160E+03
   7.53333  1.0445363E+03  2.0890725E+03
   7.60000  1.0444148E+03  2.0888296E+03
   7.66667  1.0442936E+03  2.0885872E+03
   7.73333  1.0441727E+03  2.0883453E+03
   7.80000  1.0440519E+03  2.0881039E+03
   7.86667  1.0439315E+03  2.0878629E+03
   7.93333  1.0438112E+03  2.0876225E+03
   8.00000  1.0436912E+03  2.0873825E+03
   8.06667  1.0435715E+03  2.0871430E+03
   8.13333  1.0434520E+03  2.0869039E+03
   8.20000  1.0433327E+03  2.0866653E+03
   8.26667  1.0432136E+03  2.0864272E+03
