 #  Z/R                U/pie0RV2                  C/pie0R
   3.33333  1.0528619E+03  2.1057237E+03
   3.40000  1.0527152E+03  2.1054305E+03
   3.46667  1.0525693E+03  2.1051385E+03
   3.53333  1.0524240E+03  2.1048480E+03
   3.60000  1.0522793E+03  2.1045587E+03
   3.66667  1.0521353E+03  2.1042706E+03
   3.73333  1.0519919E+03  2.1039838E+03
   3.80000  1.0518491E+03  2.1036982E+03
   3.86667  1.0517069E+03  2.1034138E+03
   3.93333  1.0515653E+03  2.1031305E+03
   4.00000  1.0514242E+03  2.1028483E+03
   4.06667  1.0512836E+03  2.1025673E+03
   4.13333  1.0511436E+03  2.1022873E+03
   4.20000  1.0510042E+03  2.1020083E+03
   4.26667  1.0508652E+03  2.1017304E+03
   4.33333  1.0507268E+03  2.1014535E+03
   4.40000  1.0505888E+03  2.1011776E+03
   4.46667  1.0504513E+03  2.1009026E+03
   4.53333  1.0503143E+03  2.1006286E+03
   4.60000  1.0501778E+03  2.1003556E+03
   4.66667  1.0500417E+03  2.1000834E+03
   4.73333  1.0499061E+03  2.0998121E+03
   4.80000  1.0497709E+03  2.0995418E+03
   4.86667  1.0496361E+03  2.0992723E+03
   4.93333  1.0495018E+03  2.0990036E+03
   5.00000  1.0493679E+03  2.0987358E+03
   5.06667  1.0492344E+03  2.0984688E+03
   5.13333  1.0491013E+03  2.0982026E+03
   5.20000  1.0489686E+03  2.0979372E+03
   5.26667  1.0488363E+03  2.0976726E+03
   5.33333  1.0487044E+03  2.0974088E+03
   5.40000  1.0485729E+03  2.0971457E+03
   5.46667  1.0484417E+03  2.0968834E+03
   5.53333  1.0483109E+03  2.0966218E+03
   5.60000  1.0481805E+03  2.0963609E+03
   5.66667  1.0480504E+03  2.0961008E+03
   5.73333  1.0479207E+03  2.0958414E+03
   5.80000  1.0477913E+03  2.0955826E+03
   5.86667  1.0476623E+03  2.0953246E+03
   5.93333  1.0475336E+03  2.0950672E+03
   6.00000  1.0474053E+03  2.0948105E+03
   6.06667  1.0472772E+03  2.0945545E+03
   6.13333  1.0471495E+03  2.0942991E+03
   6.20000  1.0470222E+03  2.0940443E+03
   6.26667  1.0468951E+03  2.0937902E+03
   6.33333  1.0467683E+03  2.0935367E+03
   6.40000  1.0466419E+03  2.0932838E+03
   6.46667  1.0465158E+03  2.0930316E+03
   6.53333  1.0463899E+03  2.0927799E+03
   6.60000  1.0462644E+03  2.0925288E+03
   6.66667  1.0461392E+03  2.0922783E+03
   6.73333  1.0460142E+03  2.0920284E+03
   6.80000  1.0458896E+03  2.0917791E+03
   6.86667  1.0457652E+03  2.0915303E+03
   6.93333  1.0456411E+03  2.0912822E+03
   7.00000  1.0455173E+03  2.0910345E+03
   7.06667  1.0453937E+03  2.0907874E+03
   7.13333  1.0452704E+03  2.0905409E+03
   7.20000  1.0451474E+03  2.0902949E+03
   7.26667  1.0450247E+03  2.0900494E+03
   7.33333  1.0449022E+03  2.0898044E+03
   7.40000  1.0447800E+03  2.0895600E+03
   7.46667  1.0446580E+03  2.0893161E+03
   7.53333  1.0445363E+03  2.0890726E+03
   7.60000  1.0444149E+03  2.0888297E+03
   7.66667  1.0442937E+03  2.0885873E+03
   7.73333  1.0441727E+03  2.0883454E+03
   7.80000  1.0440520E+03  2.0881040E+03
   7.86667  1.0439315E+03  2.0878630E+03
   7.93333  1.0438113E+03  2.0876226E+03
   8.00000  1.0436913E+03  2.0873826E+03
   8.06667  1.0435715E+03  2.0871431E+03
   8.13333  1.0434520E+03  2.0869040E+03
   8.20000  1.0433327E+03  2.0866654E+03
   8.26667  1.0432137E+03  2.0864273E+03
