    3.3333   -0.219E+00100.00   -0.730814E-02 1000.00   -0.142121E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.4000   -0.214E+00102.00   -0.713669E-02 1020.00   -0.138787E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.4667   -0.209E+00104.00   -0.697247E-02 1040.00   -0.135593E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.5333   -0.204E+00106.00   -0.681505E-02 1060.00   -0.132532E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.6000   -0.200E+00108.00   -0.666403E-02 1080.00   -0.129595E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.6667   -0.196E+00110.00   -0.651904E-02 1100.00   -0.126775E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.7333   -0.191E+00112.00   -0.637976E-02 1120.00   -0.124067E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.8000   -0.187E+00114.00   -0.624586E-02 1140.00   -0.121463E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.8667   -0.184E+00116.00   -0.611704E-02 1160.00   -0.118958E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.9333   -0.180E+00118.00   -0.599305E-02 1180.00   -0.116546E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.0000   -0.176E+00120.00   -0.587362E-02 1200.00   -0.114224E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.0667   -0.173E+00122.00   -0.575851E-02 1220.00   -0.111985E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.1333   -0.169E+00124.00   -0.564752E-02 1240.00   -0.109827E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.2000   -0.166E+00126.00   -0.554041E-02 1260.00   -0.107744E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.2667   -0.163E+00128.00   -0.543702E-02 1280.00   -0.105733E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.3333   -0.160E+00130.00   -0.533715E-02 1300.00   -0.103791E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.4000   -0.157E+00132.00   -0.524063E-02 1320.00   -0.101914E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.4667   -0.154E+00134.00   -0.514731E-02 1340.00   -0.100099E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.5333   -0.152E+00136.00   -0.505703E-02 1360.00   -0.983436E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.6000   -0.149E+00138.00   -0.496966E-02 1380.00   -0.966445E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
