    3.3333   -0.219E+00100.00   -0.730560E-02 1000.00   -0.142071E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.4000   -0.214E+00102.00   -0.713425E-02 1020.00   -0.138739E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.4667   -0.209E+00104.00   -0.697012E-02 1040.00   -0.135547E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.5333   -0.204E+00106.00   -0.681278E-02 1060.00   -0.132487E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.6000   -0.200E+00108.00   -0.666184E-02 1080.00   -0.129552E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.6667   -0.196E+00110.00   -0.651693E-02 1100.00   -0.126734E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.7333   -0.191E+00112.00   -0.637772E-02 1120.00   -0.124027E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.8000   -0.187E+00114.00   -0.624389E-02 1140.00   -0.121424E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.8667   -0.183E+00116.00   -0.611515E-02 1160.00   -0.118921E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.9333   -0.180E+00118.00   -0.599122E-02 1180.00   -0.116511E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.0000   -0.176E+00120.00   -0.587185E-02 1200.00   -0.114189E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.0667   -0.173E+00122.00   -0.575681E-02 1220.00   -0.111952E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.1333   -0.169E+00124.00   -0.564587E-02 1240.00   -0.109795E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.2000   -0.166E+00126.00   -0.553882E-02 1260.00   -0.107713E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.2667   -0.163E+00128.00   -0.543548E-02 1280.00   -0.105703E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.3333   -0.160E+00130.00   -0.533566E-02 1300.00   -0.103762E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.4000   -0.157E+00132.00   -0.523919E-02 1320.00   -0.101886E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.4667   -0.154E+00134.00   -0.514592E-02 1340.00   -0.100072E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.5333   -0.152E+00136.00   -0.505568E-02 1360.00   -0.983174E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.6000   -0.149E+00138.00   -0.496836E-02 1380.00   -0.966191E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.6667   -0.147E+00140.00   -0.488380E-02 1400.00   -0.949747E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.7333   -0.144E+00142.00   -0.480188E-02 1420.00   -0.933817E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.8000   -0.142E+00144.00   -0.472250E-02 1440.00   -0.918379E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.8667   -0.139E+00146.00   -0.464553E-02 1460.00   -0.903411E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.9333   -0.137E+00148.00   -0.457087E-02 1480.00   -0.888893E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0000   -0.135E+00150.00   -0.449843E-02 1500.00   -0.874806E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667   -0.133E+00152.00   -0.442811E-02 1520.00   -0.861131E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.131E+00154.00   -0.435982E-02 1540.00   -0.847851E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000   -0.129E+00156.00   -0.429348E-02 1560.00   -0.834950E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667   -0.127E+00158.00   -0.422901E-02 1580.00   -0.822412E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333   -0.125E+00160.00   -0.416634E-02 1600.00   -0.810224E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000   -0.123E+00162.00   -0.410539E-02 1620.00   -0.798371E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667   -0.121E+00164.00   -0.404609E-02 1640.00   -0.786839E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333   -0.120E+00166.00   -0.398839E-02 1660.00   -0.775617E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000   -0.118E+00168.00   -0.393221E-02 1680.00   -0.764693E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667   -0.116E+00170.00   -0.387751E-02 1700.00   -0.754056E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333   -0.115E+00172.00   -0.382423E-02 1720.00   -0.743694E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000   -0.113E+00174.00   -0.377231E-02 1740.00   -0.733597E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667   -0.112E+00176.00   -0.372170E-02 1760.00   -0.723756E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333   -0.110E+00178.00   -0.367237E-02 1780.00   -0.714162E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000   -0.109E+00180.00   -0.362425E-02 1800.00   -0.704805E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667   -0.107E+00182.00   -0.357732E-02 1820.00   -0.695677E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333   -0.106E+00184.00   -0.353152E-02 1840.00   -0.686771E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.105E+00186.00   -0.348682E-02 1860.00   -0.678078E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667   -0.103E+00188.00   -0.344318E-02 1880.00   -0.669592E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333   -0.102E+00190.00   -0.340056E-02 1900.00   -0.661304E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000   -0.101E+00192.00   -0.335894E-02 1920.00   -0.653209E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667   -0.995E-01194.00   -0.331827E-02 1940.00   -0.645300E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333   -0.984E-01196.00   -0.327852E-02 1960.00   -0.637571E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000   -0.972E-01198.00   -0.323967E-02 1980.00   -0.630015E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667   -0.961E-01200.00   -0.320169E-02 2000.00   -0.622629E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333   -0.949E-01202.00   -0.316454E-02 2020.00   -0.615405E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000   -0.938E-01204.00   -0.312821E-02 2040.00   -0.608339E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667   -0.928E-01206.00   -0.309266E-02 2060.00   -0.601426E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333   -0.917E-01208.00   -0.305787E-02 2080.00   -0.594661E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000   -0.907E-01210.00   -0.302382E-02 2100.00   -0.588040E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0667   -0.897E-01212.00   -0.299049E-02 2120.00   -0.581557E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.1333   -0.887E-01214.00   -0.295785E-02 2140.00   -0.575210E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000   -0.878E-01216.00   -0.292588E-02 2160.00   -0.568994E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2667   -0.868E-01218.00   -0.289457E-02 2180.00   -0.562904E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3333   -0.859E-01220.00   -0.286389E-02 2200.00   -0.556938E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000   -0.850E-01222.00   -0.283383E-02 2220.00   -0.551092E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4667   -0.841E-01224.00   -0.280436E-02 2240.00   -0.545362E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5333   -0.833E-01226.00   -0.277548E-02 2260.00   -0.539744E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000   -0.824E-01228.00   -0.274716E-02 2280.00   -0.534237E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6667   -0.816E-01230.00   -0.271938E-02 2300.00   -0.528836E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7333   -0.808E-01232.00   -0.269214E-02 2320.00   -0.523538E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000   -0.800E-01234.00   -0.266542E-02 2340.00   -0.518342E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8667   -0.792E-01236.00   -0.263920E-02 2360.00   -0.513243E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9333   -0.784E-01238.00   -0.261347E-02 2380.00   -0.508240E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000   -0.776E-01240.00   -0.258822E-02 2400.00   -0.503329E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0667   -0.769E-01242.00   -0.256343E-02 2420.00   -0.498508E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1333   -0.762E-01244.00   -0.253910E-02 2440.00   -0.493776E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
