    3.3333   -0.219E+00100.00   -0.731272E-02 1000.00   -0.142210E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.4000   -0.214E+00102.00   -0.714104E-02 1020.00   -0.138871E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.4667   -0.209E+00104.00   -0.697661E-02 1040.00   -0.135673E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.5333   -0.205E+00106.00   -0.681899E-02 1060.00   -0.132608E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.6000   -0.200E+00108.00   -0.666779E-02 1080.00   -0.129668E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.6667   -0.196E+00110.00   -0.652264E-02 1100.00   -0.126845E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.7333   -0.191E+00112.00   -0.638319E-02 1120.00   -0.124133E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.8000   -0.187E+00114.00   -0.624915E-02 1140.00   -0.121526E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.8667   -0.184E+00116.00   -0.612019E-02 1160.00   -0.119019E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.9333   -0.180E+00118.00   -0.599607E-02 1180.00   -0.116605E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.0000   -0.176E+00120.00   -0.587652E-02 1200.00   -0.114280E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.0667   -0.173E+00122.00   -0.576130E-02 1220.00   -0.112039E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.1333   -0.170E+00124.00   -0.565019E-02 1240.00   -0.109879E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.2000   -0.166E+00126.00   -0.554299E-02 1260.00   -0.107794E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.2667   -0.163E+00128.00   -0.543950E-02 1280.00   -0.105781E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.3333   -0.160E+00130.00   -0.533954E-02 1300.00   -0.103837E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.4000   -0.157E+00132.00   -0.524294E-02 1320.00   -0.101959E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.4667   -0.154E+00134.00   -0.514954E-02 1340.00   -0.100143E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.5333   -0.152E+00136.00   -0.505918E-02 1360.00   -0.983854E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.6000   -0.149E+00138.00   -0.497174E-02 1380.00   -0.966849E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.6667   -0.147E+00140.00   -0.488707E-02 1400.00   -0.950384E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.7333   -0.144E+00142.00   -0.480505E-02 1420.00   -0.934434E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.8000   -0.142E+00144.00   -0.472557E-02 1440.00   -0.918976E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.8667   -0.139E+00146.00   -0.464850E-02 1460.00   -0.903990E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.9333   -0.137E+00148.00   -0.457376E-02 1480.00   -0.889454E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0000   -0.135E+00150.00   -0.450123E-02 1500.00   -0.875349E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667   -0.133E+00152.00   -0.443083E-02 1520.00   -0.861658E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.131E+00154.00   -0.436246E-02 1540.00   -0.848363E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000   -0.129E+00156.00   -0.429604E-02 1560.00   -0.835447E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667   -0.127E+00158.00   -0.423150E-02 1580.00   -0.822895E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333   -0.125E+00160.00   -0.416875E-02 1600.00   -0.810693E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000   -0.123E+00162.00   -0.410773E-02 1620.00   -0.798827E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667   -0.121E+00164.00   -0.404837E-02 1640.00   -0.787283E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333   -0.120E+00166.00   -0.399061E-02 1660.00   -0.776049E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000   -0.118E+00168.00   -0.393437E-02 1680.00   -0.765113E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667   -0.116E+00170.00   -0.387961E-02 1700.00   -0.754465E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
