    5.0000   -0.135E+00150.00   -0.450123E-02 1500.00   -0.875349E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667   -0.133E+00152.00   -0.443083E-02 1520.00   -0.861658E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.131E+00154.00   -0.436246E-02 1540.00   -0.848363E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000   -0.129E+00156.00   -0.429604E-02 1560.00   -0.835447E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667   -0.127E+00158.00   -0.423150E-02 1580.00   -0.822895E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333   -0.125E+00160.00   -0.416875E-02 1600.00   -0.810693E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000   -0.123E+00162.00   -0.410773E-02 1620.00   -0.798827E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667   -0.121E+00164.00   -0.404837E-02 1640.00   -0.787283E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333   -0.120E+00166.00   -0.399061E-02 1660.00   -0.776049E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000   -0.118E+00168.00   -0.393437E-02 1680.00   -0.765113E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667   -0.116E+00170.00   -0.387961E-02 1700.00   -0.754465E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333   -0.115E+00172.00   -0.382628E-02 1720.00   -0.744092E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000   -0.113E+00174.00   -0.377430E-02 1740.00   -0.733985E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667   -0.112E+00176.00   -0.372365E-02 1760.00   -0.724134E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333   -0.110E+00178.00   -0.367426E-02 1780.00   -0.714530E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000   -0.109E+00180.00   -0.362610E-02 1800.00   -0.705164E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667   -0.107E+00182.00   -0.357912E-02 1820.00   -0.696028E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333   -0.106E+00184.00   -0.353328E-02 1840.00   -0.687113E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.105E+00186.00   -0.348854E-02 1860.00   -0.678412E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667   -0.103E+00188.00   -0.344485E-02 1880.00   -0.669917E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333   -0.102E+00190.00   -0.340220E-02 1900.00   -0.661622E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000   -0.101E+00192.00   -0.336053E-02 1920.00   -0.653519E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667   -0.996E-01194.00   -0.331983E-02 1940.00   -0.645603E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333   -0.984E-01196.00   -0.328005E-02 1960.00   -0.637867E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000   -0.972E-01198.00   -0.324116E-02 1980.00   -0.630305E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667   -0.961E-01200.00   -0.320314E-02 2000.00   -0.622912E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333   -0.950E-01202.00   -0.316596E-02 2020.00   -0.615682E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000   -0.939E-01204.00   -0.312960E-02 2040.00   -0.608610E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667   -0.928E-01206.00   -0.309402E-02 2060.00   -0.601691E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333   -0.918E-01208.00   -0.305920E-02 2080.00   -0.594920E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000   -0.908E-01210.00   -0.302513E-02 2100.00   -0.588294E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0667   -0.898E-01212.00   -0.299177E-02 2120.00   -0.581806E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.1333   -0.888E-01214.00   -0.295910E-02 2140.00   -0.575454E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000   -0.878E-01216.00   -0.292711E-02 2160.00   -0.569232E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2667   -0.869E-01218.00   -0.289577E-02 2180.00   -0.563138E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3333   -0.860E-01220.00   -0.286507E-02 2200.00   -0.557167E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000   -0.850E-01222.00   -0.283498E-02 2220.00   -0.551316E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4667   -0.842E-01224.00   -0.280549E-02 2240.00   -0.545582E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5333   -0.833E-01226.00   -0.277659E-02 2260.00   -0.539960E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000   -0.824E-01228.00   -0.274824E-02 2280.00   -0.534448E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6667   -0.816E-01230.00   -0.272045E-02 2300.00   -0.529043E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7333   -0.808E-01232.00   -0.269319E-02 2320.00   -0.523742E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000   -0.800E-01234.00   -0.266645E-02 2340.00   -0.518541E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8667   -0.792E-01236.00   -0.264021E-02 2360.00   -0.513439E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9333   -0.784E-01238.00   -0.261446E-02 2380.00   -0.508432E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000   -0.777E-01240.00   -0.258919E-02 2400.00   -0.503517E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0667   -0.769E-01242.00   -0.256439E-02 2420.00   -0.498694E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1333   -0.762E-01244.00   -0.254003E-02 2440.00   -0.493958E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2000   -0.755E-01246.00   -0.251612E-02 2460.00   -0.489307E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2667   -0.748E-01248.00   -0.249264E-02 2480.00   -0.484740E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.3333   -0.741E-01250.00   -0.246957E-02 2500.00   -0.480254E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.4000   -0.734E-01252.00   -0.244691E-02 2520.00   -0.475848E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.4667   -0.727E-01254.00   -0.242465E-02 2540.00   -0.471518E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.5333   -0.721E-01256.00   -0.240277E-02 2560.00   -0.467264E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.6000   -0.714E-01258.00   -0.238127E-02 2580.00   -0.463083E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.6667   -0.708E-01260.00   -0.236014E-02 2600.00   -0.458973E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.7333   -0.702E-01262.00   -0.233936E-02 2620.00   -0.454933E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.8000   -0.696E-01264.00   -0.231894E-02 2640.00   -0.450961E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.8667   -0.690E-01266.00   -0.229885E-02 2660.00   -0.447055E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.9333   -0.684E-01268.00   -0.227910E-02 2680.00   -0.443214E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.0000   -0.678E-01270.00   -0.225967E-02 2700.00   -0.439436E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.0667   -0.672E-01272.00   -0.224056E-02 2720.00   -0.435720E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.1333   -0.667E-01274.00   -0.222176E-02 2740.00   -0.432063E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.2000   -0.661E-01276.00   -0.220326E-02 2760.00   -0.428466E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.2667   -0.656E-01278.00   -0.218506E-02 2780.00   -0.424926E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.3333   -0.650E-01280.00   -0.216714E-02 2800.00   -0.421442E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.4000    0.607E+01282.00    0.202479E+00 2820.00    0.393758E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.4667    0.596E+01284.00    0.198686E+00 2840.00    0.386382E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.5333    0.611E+01286.00    0.203618E+00 2860.00    0.395974E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.6000    0.595E+01288.00    0.198459E+00 2880.00    0.385942E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.6667    0.586E+01290.00    0.195375E+00 2900.00    0.379943E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.7333    0.559E+01292.00    0.186253E+00 2920.00    0.362204E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.8000    0.572E+01294.00    0.190513E+00 2940.00    0.370489E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.8667    0.526E+01296.00    0.175490E+00 2960.00    0.341274E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.9333    0.521E+01298.00    0.173773E+00 2980.00    0.337934E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.0000    0.526E+01300.00    0.175243E+00 3000.00    0.340793E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.0667    0.509E+01302.00    0.169556E+00 3020.00    0.329734E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.1333    0.493E+01304.00    0.164368E+00 3040.00    0.319645E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.2000    0.485E+01306.00    0.161786E+00 3060.00    0.314623E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.2667    0.465E+01308.00    0.155068E+00 3080.00    0.301559E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
