 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  5.6824792E+03  1.1364958E+04
   5.05000  2.3378144E+23  4.6756289E+23
   5.10000  2.3154335E+23  4.6308670E+23
   5.15000  2.2804830E+23  4.5609660E+23
   5.20000  2.1882339E+23  4.3764678E+23
   5.25000  1.9960079E+23  3.9920158E+23
   5.30000  1.9762775E+23  3.9525549E+23
   5.35000  2.1430146E+23  4.2860291E+23
   5.40000  2.2247008E+23  4.4494015E+23
   5.45000  2.2739368E+23  4.5478736E+23
   5.50000  2.2289827E+23  4.4579654E+23
   5.55000  2.3124447E+23  4.6248894E+23
   5.60000  2.2696448E+23  4.5392897E+23
   5.65000  2.2881471E+23  4.5762942E+23
   5.70000  2.2087496E+23  4.4174993E+23
   5.75000  2.3709054E+23  4.7418108E+23
   5.80000  2.3994364E+23  4.7988727E+23
   5.85000  2.3523751E+23  4.7047502E+23
   5.90000  2.3687472E+23  4.7374944E+23
   5.95000  2.3485664E+23  4.6971328E+23
   6.00000  2.2961738E+23  4.5923476E+23
   6.05000  2.2683640E+23  4.5367280E+23
   6.10000  2.2736864E+23  4.5473727E+23
   6.15000  5.6766842E+03  1.1353368E+04
   6.20000  2.2971228E+23  4.5942457E+23
   6.25000  2.2540678E+23  4.5081356E+23
   6.30000  2.2900689E+23  4.5801377E+23
   6.35000  2.2590184E+23  4.5180368E+23
   6.40000  2.2869105E+23  4.5738210E+23
   6.45000  2.2886229E+23  4.5772459E+23
   6.50000  2.2692818E+23  4.5385637E+23
   6.55000  2.2957313E+23  4.5914627E+23
   6.60000  2.3164306E+23  4.6328611E+23
   6.65000  2.2803939E+23  4.5607877E+23
   6.70000  2.2869349E+23  4.5738698E+23
   6.75000  2.1930164E+23  4.3860329E+23
   6.80000  2.1262450E+23  4.2524900E+23
   6.85000  2.1816269E+23  4.3632537E+23
   6.90000  2.1799150E+23  4.3598300E+23
   6.95000  2.2487056E+23  4.4974112E+23
   7.00000  2.2182153E+23  4.4364305E+23
   7.05000  2.1962737E+23  4.3925474E+23
   7.10000  2.2713532E+23  4.5427065E+23
   7.15000  2.2946885E+23  4.5893769E+23
   7.20000  2.2834583E+23  4.5669167E+23
   7.25000  2.2397729E+23  4.4795457E+23
   7.30000  2.2658268E+23  4.5316536E+23
   7.35000  2.2772232E+23  4.5544465E+23
   7.40000  2.2435841E+23  4.4871682E+23
   7.45000  2.1906977E+23  4.3813955E+23
   7.50000  2.1931002E+23  4.3862003E+23
   7.55000  2.2102364E+23  4.4204729E+23
   7.60000  2.1622466E+23  4.3244932E+23
   7.65000  2.2602374E+23  4.5204748E+23
   7.70000  2.2877757E+23  4.5755514E+23
   7.75000  1.9225151E+23  3.8450302E+23
   7.80000  2.2515081E+23  4.5030163E+23
   7.85000  2.1896300E+23  4.3792599E+23
   7.90000  2.0829163E+23  4.1658325E+23
   7.95000  2.1275818E+23  4.2551635E+23
   8.00000  5.6675331E+03  1.1335066E+04
   8.05000  2.2100527E+23  4.4201054E+23
   8.10000  2.2052749E+23  4.4105499E+23
   8.15000  2.2889828E+23  4.5779656E+23
   8.20000  2.2181911E+23  4.4363821E+23
   8.25000  2.1888730E+23  4.3777459E+23
   8.30000  2.2406146E+23  4.4812292E+23
   8.35000  2.1889690E+23  4.3779381E+23
   8.40000  2.2390647E+23  4.4781295E+23
   8.45000  2.2479888E+23  4.4959776E+23
   8.50000  2.2566036E+23  4.5132073E+23
   8.55000  2.2442729E+23  4.4885458E+23
   8.60000  2.2269760E+23  4.4539520E+23
   8.65000  2.2354653E+23  4.4709307E+23
   8.70000  2.2125931E+23  4.4251862E+23
   8.75000  2.1946586E+23  4.3893173E+23
   8.80000  2.1587684E+23  4.3175367E+23
   8.85000  2.1109949E+23  4.2219898E+23
   8.90000  2.0272533E+23  4.0545066E+23
   8.95000  1.8767389E+23  3.7534778E+23
   9.00000  1.6381136E+23  3.2762271E+23
   9.05000  1.5619490E+23  3.1238979E+23
   9.10000  1.8709081E+23  3.7418163E+23
   9.15000  2.0363453E+23  4.0726907E+23
   9.20000  2.1808082E+23  4.3616164E+23
   9.25000  2.1362299E+23  4.2724598E+23
   9.30000  2.2195581E+23  4.4391161E+23
   9.35000  2.1851987E+23  4.3703974E+23
   9.40000  2.3062686E+23  4.6125372E+23
   9.45000  1.6255175E+23  3.2510351E+23
   9.50000  2.3300858E+23  4.6601716E+23
   9.55000  2.3246879E+23  4.6493757E+23
   9.60000  2.0207876E+23  4.0415753E+23
   9.65000  2.3309035E+23  4.6618070E+23
   9.70000  2.1246281E+23  4.2492562E+23
   9.75000  2.1449279E+23  4.2898557E+23
   9.80000  5.6587906E+03  1.1317581E+04
   9.85000  2.2881148E+23  4.5762295E+23
   9.90000  2.3171948E+23  4.6343897E+23
   9.95000  2.2962927E+23  4.5925853E+23
  10.00000  2.3158009E+23  4.6316019E+23
