    5.0000   -0.999E-01100.00   -0.499254E-02 1000.00   -0.970894E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0500    0.802E+01101.00    0.400802E+00 1010.00    0.779435E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1000    0.790E+01102.00    0.395005E+00 1020.00    0.768163E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1500    0.770E+01103.00    0.384821E+00 1030.00    0.748357E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.752E+01104.00    0.376249E+00 1040.00    0.731688E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2500    0.786E+01105.00    0.392753E+00 1050.00    0.763783E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3000    0.721E+01106.00    0.360437E+00 1060.00    0.700938E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3500    0.707E+01107.00    0.353602E+00 1070.00    0.687647E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.690E+01108.00    0.345059E+00 1080.00    0.671033E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4500    0.676E+01109.00    0.337872E+00 1090.00    0.657057E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5000    0.662E+01110.00    0.331026E+00 1100.00    0.643743E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5500    0.650E+01111.00    0.324950E+00 1110.00    0.631928E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.637E+01112.00    0.318422E+00 1120.00    0.619231E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6500    0.625E+01113.00    0.312582E+00 1130.00    0.607876E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7000    0.594E+01114.00    0.297016E+00 1140.00    0.577603E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7500    0.600E+01115.00    0.299913E+00 1150.00    0.583237E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.592E+01116.00    0.296208E+00 1160.00    0.576032E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8500    0.579E+01117.00    0.289477E+00 1170.00    0.562943E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9000    0.565E+01118.00    0.282550E+00 1180.00    0.549472E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9500    0.559E+01119.00    0.279373E+00 1190.00    0.543294E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.545E+01120.00    0.272618E+00 1200.00    0.530157E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0500    0.536E+01121.00    0.268113E+00 1210.00    0.521396E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
