    5.0000   -0.117E+00100.00   -0.584077E-02 1000.00   -0.113585E-04 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0500    0.732E+01101.00    0.365902E+00 1010.00    0.711566E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1000    0.721E+01102.00    0.360717E+00 1020.00    0.701483E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1500    0.720E+01103.00    0.360000E+00 1030.00    0.700088E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.714E+01104.00    0.356844E+00 1040.00    0.693950E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2500    0.577E+01105.00    0.288550E+00 1050.00    0.561141E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3000    0.705E+01106.00    0.352462E+00 1060.00    0.685428E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3500    0.693E+01107.00    0.346473E+00 1070.00    0.673782E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.664E+01108.00    0.332134E+00 1080.00    0.645897E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4500    0.664E+01109.00    0.331821E+00 1090.00    0.645290E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5000    0.651E+01110.00    0.325267E+00 1100.00    0.632543E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5500    0.644E+01111.00    0.322194E+00 1110.00    0.626567E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.632E+01112.00    0.316222E+00 1120.00    0.614953E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6500    0.628E+01113.00    0.313772E+00 1130.00    0.610189E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7000    0.604E+01114.00    0.301950E+00 1140.00    0.587199E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7500    0.611E+01115.00    0.305609E+00 1150.00    0.594315E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.595E+01116.00    0.297368E+00 1160.00    0.578288E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
