 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0189040E+03  2.0378081E+03
   5.06667  3.4857420E+23  6.9714839E+23
   5.13333  1.0186685E+03  2.0373369E+03
   5.20000  3.5569634E+23  7.1139268E+23
   5.26667  3.5670385E+23  7.1340771E+23
   5.33333  3.5445188E+23  7.0890376E+23
   5.40000  3.5249015E+23  7.0498029E+23
   5.46667  3.4238076E+23  6.8476152E+23
   5.53333  2.8983915E+23  5.7967830E+23
   5.60000  3.4154501E+23  6.8309003E+23
   5.66667  3.5026223E+23  7.0052445E+23
   5.73333  3.6062738E+23  7.2125477E+23
   5.80000  3.5170803E+23  7.0341605E+23
   5.86667  3.5094838E+23  7.0189676E+23
   5.93333  3.4783509E+23  6.9567018E+23
   6.00000  3.4709413E+23  6.9418826E+23
   6.06667  3.3870537E+23  6.7741074E+23
   6.13333  3.4392133E+23  6.8784265E+23
   6.20000  1.0168367E+03  2.0336734E+03
   6.26667  3.3378608E+23  6.6757216E+23
   6.33333  3.3101524E+23  6.6203049E+23
   6.40000  3.3691581E+23  6.7383162E+23
   6.46667  3.4091155E+23  6.8182310E+23
   6.53333  3.3414851E+23  6.6829701E+23
   6.60000  3.3430745E+23  6.6861489E+23
   6.66667  3.1141154E+23  6.2282308E+23
   6.73333  3.2304244E+23  6.4608487E+23
   6.80000  3.2908559E+23  6.5817119E+23
   6.86667  3.3822395E+23  6.7644789E+23
   6.93333  3.3269081E+23  6.6538161E+23
   7.00000  3.4020728E+23  6.8041456E+23
   7.06667  3.3621737E+23  6.7243475E+23
   7.13333  3.1805344E+23  6.3610689E+23
   7.20000  3.2819259E+23  6.5638519E+23
   7.26667  3.4444384E+23  6.8888768E+23
   7.33333  1.0149778E+03  2.0299557E+03
   7.40000  3.2408696E+23  6.4817391E+23
   7.46667  3.2385144E+23  6.4770287E+23
   7.53333  3.3561124E+23  6.7122248E+23
   7.60000  3.2826919E+23  6.5653838E+23
   7.66667  3.3523972E+23  6.7047943E+23
   7.73333  3.2243059E+23  6.4486117E+23
   7.80000  3.2544905E+23  6.5089811E+23
   7.86667  3.2211820E+23  6.4423641E+23
   7.93333  3.2655960E+23  6.5311919E+23
   8.00000  3.2542795E+23  6.5085589E+23
   8.06667  3.2143938E+23  6.4287875E+23
   8.13333  3.1725198E+23  6.3450395E+23
   8.20000  3.0460469E+23  6.0920938E+23
   8.26667  2.6634127E+23  5.3268253E+23
   8.33333  3.2231278E+23  6.4462555E+23
