  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.50000E+00    0.50000E+00     1     1     1
    0.10000E+01    0.50000E+00     2     1     1
    0.15000E+01    0.50000E+00     3     1     1
    0.20000E+01    0.50000E+00     4     1     1
    0.25000E+01    0.50000E+00     5     1     1
    0.30000E+01    0.50000E+00     6     1     1
    0.35000E+01    0.50000E+00     7     1     1
    0.40000E+01    0.50000E+00     8     1     1
    0.45000E+01    0.50000E+00     9     1     1
    0.50000E+01    0.50000E+00    10     1     1
    0.55000E+01    0.50000E+00    11     1     1
    0.60000E+01    0.50000E+00    12     1     1
    0.65000E+01    0.10000E+01    13     2     1
    0.70000E+01    0.10000E+01    14     2     1
    0.75000E+01    0.10000E+01    15     2     1
    0.80000E+01    0.10000E+01    16     2     1
    0.85000E+01    0.10000E+01    17     2     1
    0.90000E+01    0.15000E+01    18     3     1
    0.95000E+01    0.15000E+01    19     3     1
    0.10000E+02    0.15000E+01    20     3     1
    0.10500E+02    0.15000E+01    21     3     1
    0.11000E+02    0.20000E+01    22     4     1
    0.11500E+02    0.20000E+01    23     4     1
    0.12000E+02    0.20000E+01    24     4     1
    0.12500E+02    0.25000E+01    25     5     1
    0.13000E+02    0.25000E+01    26     5     1
    0.13500E+02    0.25000E+01    27     5     1
    0.14000E+02    0.30000E+01    28     6     1
    0.14500E+02    0.30000E+01    29     6     1
    0.15000E+02    0.30000E+01    30     6     1
    0.15500E+02    0.35000E+01    31     7     1
    0.16000E+02    0.35000E+01    32     7     1
    0.16500E+02    0.40000E+01    33     8     1
    0.17000E+02    0.40000E+01    34     8     1
    0.17500E+02    0.45000E+01    35     9     1
    0.18000E+02    0.45000E+01    36     9     1
    0.18500E+02    0.50000E+01    37    10     1
    0.19000E+02    0.50000E+01    38    10     1
    0.19500E+02    0.55000E+01    39    11     1
    0.20000E+02    0.55000E+01    40    11     1
    0.20500E+02    0.60000E+01    41    12     1
    0.21000E+02    0.60000E+01    42    12     1
    0.21500E+02    0.65000E+01    43    13     1
    0.22000E+02    0.70000E+01    44    14     1
    0.22500E+02    0.70000E+01    45    14     1
    0.23000E+02    0.75000E+01    46    15     1
    0.23500E+02    0.80000E+01    47    16     1
    0.24000E+02    0.80000E+01    48    16     1
    0.24500E+02    0.85000E+01    49    17     1
    0.25000E+02    0.90000E+01    50    18     1
    0.25500E+02    0.95000E+01    51    19     1
    0.26000E+02    0.10000E+02    52    20     1
    0.26500E+02    0.10500E+02    53    21     1
    0.27000E+02    0.10500E+02    54    21     1
    0.27500E+02    0.11000E+02    55    22     1
    0.28000E+02    0.11500E+02    56    23     1
    0.28500E+02    0.12000E+02    57    24     1
    0.29000E+02    0.12500E+02    58    25     1
    0.29500E+02    0.13000E+02    59    26     1
    0.30000E+02    0.14000E+02    60    28     1
    0.30500E+02    0.14500E+02    61    29     1
    0.31000E+02    0.15000E+02    62    30     1
    0.31500E+02    0.15500E+02    63    31     1
    0.32000E+02    0.16000E+02    64    32     1
    0.32500E+02    0.17000E+02    65    34     1
    0.33000E+02    0.17500E+02    66    35     1
    0.33500E+02    0.18500E+02    67    37     1
    0.34000E+02    0.19000E+02    68    38     1
    0.34500E+02    0.20000E+02    69    40     1
    0.35000E+02    0.21000E+02    70    42     1
    0.35500E+02    0.22000E+02    71    44     1
    0.36000E+02    0.23000E+02    72    46     1
    0.36500E+02    0.24000E+02    73    48     1
    0.37000E+02    0.25000E+02    74    50     1
    0.37500E+02    0.26500E+02    75    53     1
    0.38000E+02    0.28000E+02    76    56     1
    0.38500E+02    0.29500E+02    77    59     1
    0.39000E+02    0.31500E+02    78    63     2
    0.39500E+02    0.33000E+02    79    66     2
    0.40000E+02    0.35000E+02    80    70     2
    0.40474E+02    0.37000E+02    81    74     2
    0.40954E+02    0.38500E+02    82    77     2
    0.41438E+02    0.40474E+02    83    81     2
    0.41928E+02    0.42424E+02    84    85     2
    0.42424E+02    0.43944E+02    85    88     2
    0.42925E+02    0.46050E+02    86    92     2
    0.43432E+02    0.47692E+02    87    95     2
    0.43944E+02    0.49968E+02    88    99     2
    0.44462E+02    0.51742E+02    89   102     2
    0.44986E+02    0.53576E+02    90   105     2
    0.45515E+02    0.55471E+02    91   108     2
    0.46050E+02    0.57430E+02    92   111     2
    0.46592E+02    0.59456E+02    93   114     2
    0.47139E+02    0.61549E+02    94   117     2
    0.47692E+02    0.63713E+02    95   120     2
    0.48252E+02    0.65950E+02    96   123     2
    0.48818E+02    0.68262E+02    97   126     2
    0.49390E+02    0.69846E+02    98   128     2
    0.49968E+02    0.72289E+02    99   131     2
    0.50553E+02    0.74815E+02   100   134     2
    0.51144E+02    0.76546E+02   101   136     2
    0.51742E+02    0.79215E+02   102   139     2
    0.52347E+02    0.81044E+02   103   141     2
