  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.50000E+00    0.50000E+00     1     1     1
    0.98043E+00    0.50000E+00     2     1     1
    0.14675E+01    0.50000E+00     3     1     1
    0.19613E+01    0.50000E+00     4     1     1
    0.24619E+01    0.50000E+00     5     1     1
    0.29694E+01    0.50000E+00     6     1     1
    0.34839E+01    0.50000E+00     7     1     1
    0.40055E+01    0.50000E+00     8     1     1
    0.45343E+01    0.50000E+00     9     1     1
    0.50704E+01    0.50000E+00    10     1     1
    0.56139E+01    0.98043E+00    11     2     1
    0.61649E+01    0.98043E+00    12     2     1
    0.67235E+01    0.98043E+00    13     2     1
    0.72898E+01    0.98043E+00    14     2     1
    0.78640E+01    0.14675E+01    15     3     1
    0.84460E+01    0.14675E+01    16     3     1
    0.90361E+01    0.14675E+01    17     3     1
    0.96343E+01    0.19613E+01    18     4     1
    0.10241E+02    0.19613E+01    19     4     1
    0.10856E+02    0.24619E+01    20     5     1
    0.11479E+02    0.24619E+01    21     5     1
    0.12111E+02    0.29694E+01    22     6     1
    0.12752E+02    0.29694E+01    23     6     1
    0.13401E+02    0.34839E+01    24     7     1
    0.14060E+02    0.40055E+01    25     8     1
    0.14727E+02    0.40055E+01    26     8     1
    0.15404E+02    0.45343E+01    27     9     1
    0.16090E+02    0.50704E+01    28    10     1
    0.16786E+02    0.56139E+01    29    11     1
    0.17491E+02    0.61649E+01    30    12     1
    0.18206E+02    0.61649E+01    31    12     1
    0.18930E+02    0.72898E+01    32    14     1
    0.19665E+02    0.78640E+01    33    15     1
    0.20410E+02    0.84460E+01    34    16     1
    0.21165E+02    0.90361E+01    35    17     1
    0.21931E+02    0.96343E+01    36    18     1
    0.22707E+02    0.10856E+02    37    20     1
    0.23494E+02    0.11479E+02    38    21     1
    0.24292E+02    0.12752E+02    39    23     1
    0.25100E+02    0.14060E+02    40    25     1
    0.25920E+02    0.15404E+02    41    27     1
    0.26752E+02    0.16786E+02    42    29     1
    0.27594E+02    0.18930E+02    43    32     1
    0.28449E+02    0.21165E+02    44    35     1
    0.29315E+02    0.23494E+02    45    38     2
    0.30193E+02    0.27594E+02    46    43     2
    0.31083E+02    0.30193E+02    47    46     2
    0.31986E+02    0.33828E+02    48    50     2
    0.32900E+02    0.37668E+02    49    54     2
    0.33828E+02    0.40689E+02    50    57     2
    0.34768E+02    0.44916E+02    51    61     2
    0.35722E+02    0.48242E+02    52    64     2
    0.36688E+02    0.51707E+02    53    67     2
    0.37668E+02    0.55317E+02    54    70     2
    0.38661E+02    0.59080E+02    55    73     2
    0.39668E+02    0.63000E+02    56    76     2
    0.40689E+02    0.67084E+02    57    79     2
    0.41724E+02    0.69902E+02    58    81     2
    0.42774E+02    0.74277E+02    59    84     2
    0.43838E+02    0.78835E+02    60    87     2
    0.44916E+02    0.81979E+02    61    89     2
    0.46009E+02    0.86860E+02    62    92     2
    0.47118E+02    0.90228E+02    63    94     2
    0.48242E+02    0.95455E+02    64    97     2
    0.49381E+02    0.99062E+02    65    99     2
    0.50536E+02    0.10277E+03    66   101     2
    0.51707E+02    0.10852E+03    67   104     2
    0.52894E+02    0.11249E+03    68   106     2
    0.54097E+02    0.11657E+03    69   108     2
    0.55317E+02    0.12076E+03    70   110     2
    0.56554E+02    0.12727E+03    71   113     2
    0.57808E+02    0.13176E+03    72   115     2
    0.59080E+02    0.13638E+03    73   117     2
    0.60368E+02    0.14112E+03    74   119     2
    0.61675E+02    0.14600E+03    75   121     2
    0.63000E+02    0.15101E+03    76   123     2
    0.64343E+02    0.15616E+03    77   125     2
    0.65704E+02    0.16145E+03    78   127     2
    0.67084E+02    0.16689E+03    79   129     2
    0.68484E+02    0.17249E+03    80   131     2
    0.69902E+02    0.17534E+03    81   132     2
    0.71340E+02    0.18117E+03    82   134     2
    0.72799E+02    0.18715E+03    83   136     2
    0.74277E+02    0.19331E+03    84   138     2
    0.75775E+02    0.19963E+03    85   140     2
    0.77294E+02    0.20286E+03    86   141     2
    0.78835E+02    0.20945E+03    87   143     2
    0.80396E+02    0.21623E+03    88   145     2
    0.81979E+02    0.22319E+03    89   147     2
    0.83584E+02    0.22674E+03    90   148     2
    0.85211E+02    0.23400E+03    91   150     2
    0.86860E+02    0.24146E+03    92   152     2
    0.88533E+02    0.24526E+03    93   153     2
    0.90228E+02    0.25303E+03    94   155     2
    0.91947E+02    0.26102E+03    95   157     2
    0.93689E+02    0.26509E+03    96   158     2
    0.95455E+02    0.27341E+03    97   160     2
    0.97246E+02    0.27766E+03    98   161     2
    0.99062E+02    0.28633E+03    99   163     2
    0.10090E+03    0.29075E+03   100   164     2
    0.10277E+03    0.29979E+03   101   166     2
    0.10466E+03    0.30907E+03   102   168     2
    0.10658E+03    0.31381E+03   103   169     2
    0.10852E+03    0.32349E+03   104   171     2
    0.11049E+03    0.32842E+03   105   172     2
    0.11249E+03    0.33850E+03   106   174     2
    0.11452E+03    0.34365E+03   107   175     2
    0.11657E+03    0.35415E+03   108   177     2
    0.11865E+03    0.35951E+03   109   178     2
    0.12076E+03    0.36495E+03   110   179     2
    0.12290E+03    0.37604E+03   111   181     2
    0.12507E+03    0.38171E+03   112   182     2
    0.12727E+03    0.39327E+03   113   184     2
    0.12950E+03    0.39917E+03   114   185     2
    0.13176E+03    0.41122E+03   115   187     2
    0.13406E+03    0.41736E+03   116   188     2
    0.13638E+03    0.42360E+03   117   189     2
    0.13874E+03    0.43632E+03   118   191     2
    0.14112E+03    0.44282E+03   119   192     2
    0.14354E+03    0.45608E+03   120   194     2
    0.14600E+03    0.46285E+03   121   195     2
    0.14849E+03    0.46971E+03   122   196     2
    0.15101E+03    0.48371E+03   123   198     2
    0.15357E+03    0.49086E+03   124   199     2
    0.15616E+03    0.49811E+03   125   200     2
    0.15879E+03    0.51291E+03   126   202     2
    0.16145E+03    0.52046E+03   127   203     2
    0.16416E+03    0.52811E+03   128   204     2
    0.16689E+03    0.54374E+03   129   206     2
    0.16967E+03    0.55172E+03   130   207     2
    0.17249E+03    0.55981E+03   131   208     2
    0.17534E+03    0.57632E+03   132   210     2
    0.17823E+03    0.58475E+03   133   211     2
    0.18117E+03    0.59329E+03   134   212     2
    0.18414E+03    0.60195E+03   135   213     2
    0.18715E+03    0.61963E+03   136   215     2
    0.19021E+03    0.62866E+03   137   216     2
    0.19331E+03    0.63780E+03   138   217     2
    0.19645E+03    0.65648E+03   139   219     2
    0.19963E+03    0.66602E+03   140   220     2
    0.20286E+03    0.67568E+03   141   221     2
    0.20614E+03    0.68548E+03   142   222     2
    0.20945E+03    0.70548E+03   143   224     2
    0.21282E+03    0.71569E+03   144   225     2
    0.21623E+03    0.72604E+03   145   226     2
    0.21969E+03    0.73653E+03   146   227     2
    0.22319E+03    0.74717E+03   147   228     2
    0.22674E+03    0.76889E+03   148   230     2
    0.23035E+03    0.77997E+03   149   231     2
    0.23400E+03    0.79121E+03   150   232     2
    0.23770E+03    0.80260E+03   151   233     2
    0.24146E+03    0.82586E+03   152   235     2
    0.24526E+03    0.83773E+03   153   236     2
    0.24912E+03    0.84977E+03   154   237     2
    0.25303E+03    0.86197E+03   155   238     2
    0.25700E+03    0.87434E+03   156   239     2
    0.26102E+03    0.89959E+03   157   241     2
    0.26509E+03    0.91248E+03   158   242     2
    0.26922E+03    0.92554E+03   159   243     2
    0.27341E+03    0.93879E+03   160   244     2
    0.27766E+03    0.95222E+03   161   245     2
    0.28197E+03    0.97963E+03   162   247     2
    0.28633E+03    0.99362E+03   163   248     2
    0.29075E+03    0.10078E+04   164   249     2
    0.29524E+03    0.10222E+04   165   250     2
    0.29979E+03    0.10368E+04   166   251     2
    0.30440E+03    0.10516E+04   167   252     2
    0.30907E+03    0.10817E+04   168   254     2
    0.31381E+03    0.10971E+04   169   255     2
    0.31862E+03    0.11127E+04   170   256     2
    0.32349E+03    0.11286E+04   171   257     2
    0.32842E+03    0.11446E+04   172   258     2
    0.33343E+03    0.11609E+04   173   259     2
    0.33850E+03    0.11941E+04   174   261     2
    0.34365E+03    0.12111E+04   175   262     2
    0.34887E+03    0.12282E+04   176   263     2
