    5.0000   -0.135E+00150.00   -0.448585E-02 1500.00   -0.872359E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.494E+01152.00    0.164685E+00 1520.00    0.320262E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.130E+00154.00   -0.434788E-02 1540.00   -0.845528E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.481E+01156.00    0.160466E+00 1560.00    0.312056E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.470E+01158.00    0.156500E+00 1580.00    0.304344E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.464E+01160.00    0.154705E+00 1600.00    0.300854E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.458E+01162.00    0.152773E+00 1620.00    0.297096E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.454E+01164.00    0.151500E+00 1640.00    0.294620E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.443E+01166.00    0.147603E+00 1660.00    0.287042E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.439E+01168.00    0.146368E+00 1680.00    0.284640E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.435E+01170.00    0.145135E+00 1700.00    0.282243E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.427E+01172.00    0.142433E+00 1720.00    0.276988E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.421E+01174.00    0.140431E+00 1740.00    0.273095E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.417E+01176.00    0.138887E+00 1760.00    0.270092E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.409E+01178.00    0.136376E+00 1780.00    0.265209E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.403E+01180.00    0.134188E+00 1800.00    0.260955E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667    0.398E+01182.00    0.132573E+00 1820.00    0.257814E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333    0.394E+01184.00    0.131208E+00 1840.00    0.255160E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.104E+00186.00   -0.347855E-02 1860.00   -0.676469E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667    0.383E+01188.00    0.127780E+00 1880.00    0.248492E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333    0.380E+01190.00    0.126773E+00 1900.00    0.246534E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000    0.376E+01192.00    0.125260E+00 1920.00    0.243592E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667    0.370E+01194.00    0.123360E+00 1940.00    0.239896E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333    0.366E+01196.00    0.122020E+00 1960.00    0.237291E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000    0.365E+01198.00    0.121669E+00 1980.00    0.236608E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667    0.362E+01200.00    0.120603E+00 2000.00    0.234535E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
