 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0184292E+03  2.0368584E+03
   5.06667  1.1846334E+22  2.3692668E+22
   5.13333  1.0181938E+03  2.0363875E+03
   5.20000  1.2097515E+22  2.4195030E+22
   5.26667  1.2134996E+22  2.4269992E+22
   5.33333  1.2082347E+22  2.4164694E+22
   5.40000  1.2054913E+22  2.4109827E+22
   5.46667  1.1811567E+22  2.3623134E+22
   5.53333  1.0178637E+22  2.0357274E+22
   5.60000  1.1442666E+22  2.2885333E+22
   5.66667  1.1835552E+22  2.3671105E+22
   5.73333  1.2238015E+22  2.4476031E+22
   5.80000  1.1966133E+22  2.3932267E+22
   5.86667  1.1946910E+22  2.3893820E+22
   5.93333  1.1857575E+22  2.3715150E+22
   6.00000  1.1834712E+22  2.3669424E+22
   6.06667  1.1538361E+22  2.3076722E+22
   6.13333  1.1732339E+22  2.3464677E+22
   6.20000  1.0163623E+03  2.0327246E+03
   6.26667  1.1358056E+22  2.2716112E+22
   6.33333  1.1278450E+22  2.2556901E+22
   6.40000  1.1493541E+22  2.2987081E+22
   6.46667  1.1635006E+22  2.3270011E+22
   6.53333  1.1424039E+22  2.2848079E+22
   6.60000  1.1482361E+22  2.2964722E+22
   6.66667  1.0560418E+22  2.1120837E+22
   6.73333  1.0954083E+22  2.1908165E+22
   6.80000  1.1176756E+22  2.2353512E+22
   6.86667  1.1513695E+22  2.3027389E+22
   6.93333  1.1331150E+22  2.2662301E+22
   7.00000  1.1585799E+22  2.3171599E+22
   7.06667  1.1474022E+22  2.2948044E+22
   7.13333  1.0827063E+22  2.1654127E+22
   7.20000  1.1149919E+22  2.2299838E+22
   7.26667  1.1775091E+22  2.3550183E+22
   7.33333  1.0145032E+03  2.0290064E+03
   7.40000  1.1020436E+22  2.2040871E+22
   7.46667  1.1011949E+22  2.2023898E+22
   7.53333  1.1438345E+22  2.2876689E+22
   7.60000  1.1160488E+22  2.2320977E+22
   7.66667  1.1442098E+22  2.2884196E+22
   7.73333  1.0979949E+22  2.1959897E+22
   7.80000  1.1084727E+22  2.2169454E+22
   7.86667  1.0998277E+22  2.1996553E+22
   7.93333  1.1146557E+22  2.2293115E+22
   8.00000  1.1132519E+22  2.2265038E+22
   8.06667  1.1023665E+22  2.2047331E+22
   8.13333  1.0935242E+22  2.1870485E+22
   8.20000  1.0617243E+22  2.1234487E+22
   8.26667  9.6037839E+21  1.9207568E+22
   8.33333  1.1060244E+22  2.2120488E+22
