    5.0000   -0.135E+00150.00   -0.448640E-02 1500.00   -0.872466E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.507E+01152.00    0.169076E+00 1520.00    0.328799E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.130E+00154.00   -0.434845E-02 1540.00   -0.845638E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.488E+01156.00    0.162721E+00 1560.00    0.316442E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.471E+01158.00    0.157133E+00 1580.00    0.305575E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.464E+01160.00    0.154686E+00 1600.00    0.300817E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.458E+01162.00    0.152812E+00 1620.00    0.297173E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.480E+01164.00    0.159984E+00 1640.00    0.311119E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.449E+01166.00    0.149797E+00 1660.00    0.291308E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.437E+01168.00    0.145652E+00 1680.00    0.283248E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.437E+01170.00    0.145703E+00 1700.00    0.283347E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.431E+01172.00    0.143544E+00 1720.00    0.279149E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.421E+01174.00    0.140349E+00 1740.00    0.272936E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.418E+01176.00    0.139313E+00 1760.00    0.270920E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.412E+01178.00    0.137187E+00 1780.00    0.266785E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
