  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.50000E+00    0.50000E+00     1     1     1
    0.10000E+01    0.50000E+00     2     1     1
    0.15000E+01    0.50000E+00     3     1     1
    0.20000E+01    0.50000E+00     4     1     1
    0.25000E+01    0.50000E+00     5     1     1
    0.30000E+01    0.50000E+00     6     1     1
    0.35000E+01    0.50000E+00     7     1     1
    0.40000E+01    0.50000E+00     8     1     1
    0.45000E+01    0.50000E+00     9     1     1
    0.50000E+01    0.50000E+00    10     1     1
    0.55000E+01    0.10000E+01    11     2     1
    0.60000E+01    0.10000E+01    12     2     1
    0.65000E+01    0.10000E+01    13     2     1
    0.70000E+01    0.10000E+01    14     2     1
    0.75000E+01    0.10000E+01    15     2     1
    0.80000E+01    0.15000E+01    16     3     1
    0.85000E+01    0.15000E+01    17     3     1
    0.90000E+01    0.15000E+01    18     3     1
    0.95000E+01    0.20000E+01    19     4     1
    0.10000E+02    0.20000E+01    20     4     1
    0.10500E+02    0.20000E+01    21     4     1
    0.11000E+02    0.25000E+01    22     5     1
    0.11500E+02    0.25000E+01    23     5     1
    0.12000E+02    0.30000E+01    24     6     1
    0.12500E+02    0.30000E+01    25     6     1
    0.13000E+02    0.30000E+01    26     6     1
    0.13500E+02    0.35000E+01    27     7     1
    0.14000E+02    0.35000E+01    28     7     1
    0.14500E+02    0.40000E+01    29     8     1
    0.15000E+02    0.45000E+01    30     9     1
    0.15500E+02    0.45000E+01    31     9     1
    0.16000E+02    0.50000E+01    32    10     1
    0.16500E+02    0.50000E+01    33    10     1
    0.17000E+02    0.55000E+01    34    11     1
    0.17500E+02    0.60000E+01    35    12     1
    0.18000E+02    0.60000E+01    36    12     1
    0.18500E+02    0.65000E+01    37    13     1
    0.19000E+02    0.70000E+01    38    14     1
    0.19500E+02    0.75000E+01    39    15     1
    0.20000E+02    0.80000E+01    40    16     1
    0.20500E+02    0.85000E+01    41    17     1
    0.21000E+02    0.90000E+01    42    18     1
    0.21500E+02    0.95000E+01    43    19     1
    0.22000E+02    0.10000E+02    44    20     1
    0.22500E+02    0.10500E+02    45    21     1
    0.23000E+02    0.11000E+02    46    22     1
    0.23500E+02    0.11500E+02    47    23     1
    0.24000E+02    0.12000E+02    48    24     1
    0.24500E+02    0.13000E+02    49    26     1
    0.25000E+02    0.13500E+02    50    27     1
    0.25473E+02    0.14500E+02    51    29     1
    0.25951E+02    0.15000E+02    52    30     1
    0.26435E+02    0.16000E+02    53    32     1
    0.26923E+02    0.17000E+02    54    34     1
    0.27416E+02    0.18000E+02    55    36     1
    0.27915E+02    0.19500E+02    56    39     1
    0.28419E+02    0.20500E+02    57    41     2
    0.28929E+02    0.22000E+02    58    44     2
    0.29443E+02    0.23500E+02    59    47     2
    0.29964E+02    0.25000E+02    60    50     2
    0.30489E+02    0.26435E+02    61    53     2
    0.31021E+02    0.27915E+02    62    56     2
    0.31558E+02    0.29443E+02    63    59     2
    0.32100E+02    0.30489E+02    64    61     2
    0.32649E+02    0.32100E+02    65    64     2
    0.33203E+02    0.33763E+02    66    67     2
    0.33763E+02    0.35479E+02    67    70     2
    0.34329E+02    0.36654E+02    68    72     2
    0.34901E+02    0.38463E+02    69    75     2
    0.35479E+02    0.40330E+02    70    78     2
    0.36063E+02    0.41608E+02    71    80     2
    0.36654E+02    0.43576E+02    72    83     2
    0.37250E+02    0.44923E+02    73    85     2
    0.37853E+02    0.46299E+02    74    87     2
    0.38463E+02    0.48418E+02    75    90     2
    0.39079E+02    0.49869E+02    76    92     2
    0.39701E+02    0.52102E+02    77    95     2
    0.40330E+02    0.53631E+02    78    97     2
    0.40965E+02    0.55193E+02    79    99     2
    0.41608E+02    0.56787E+02    80   101     2
    0.42257E+02    0.58416E+02    81   103     2
    0.42913E+02    0.60925E+02    82   106     2
    0.43576E+02    0.62642E+02    83   108     2
    0.44246E+02    0.64395E+02    84   110     2
    0.44923E+02    0.66186E+02    85   112     2
    0.45608E+02    0.68015E+02    86   114     2
    0.46299E+02    0.69883E+02    87   116     2
    0.46998E+02    0.71791E+02    88   118     2
    0.47704E+02    0.73739E+02    89   120     2
    0.48418E+02    0.75729E+02    90   122     2
    0.49140E+02    0.77762E+02    91   124     2
    0.49869E+02    0.79838E+02    92   126     2
    0.50605E+02    0.81958E+02    93   128     2
    0.51350E+02    0.84123E+02    94   130     2
    0.52102E+02    0.86334E+02    95   132     2
    0.52863E+02    0.88593E+02    96   134     2
    0.53631E+02    0.89740E+02    97   135     2
    0.54408E+02    0.92071E+02    98   137     2
    0.55193E+02    0.94452E+02    99   139     2
    0.55986E+02    0.96883E+02   100   141     2
    0.56787E+02    0.99366E+02   101   143     2
    0.57598E+02    0.10063E+03   102   144     2
    0.58416E+02    0.10319E+03   103   146     2
