    5.0000   -0.135E+00150.00   -0.450254E-02 1500.00   -0.875604E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.515E+01152.00    0.171794E+00 1520.00    0.334086E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.131E+00154.00   -0.436364E-02 1540.00   -0.848593E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.503E+01156.00    0.167515E+00 1560.00    0.325764E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.487E+01158.00    0.162367E+00 1580.00    0.315753E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.481E+01160.00    0.160354E+00 1600.00    0.311838E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.478E+01162.00    0.159368E+00 1620.00    0.309920E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.468E+01164.00    0.156013E+00 1640.00    0.303397E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.433E+01166.00    0.144340E+00 1660.00    0.280697E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.456E+01168.00    0.152132E+00 1680.00    0.295849E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.450E+01170.00    0.150144E+00 1700.00    0.291984E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.443E+01172.00    0.147510E+00 1720.00    0.286861E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.435E+01174.00    0.145079E+00 1740.00    0.282133E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.431E+01176.00    0.143557E+00 1760.00    0.279174E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.425E+01178.00    0.141737E+00 1780.00    0.275634E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.418E+01180.00    0.139216E+00 1800.00    0.270733E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667    0.411E+01182.00    0.137137E+00 1820.00    0.266690E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333    0.408E+01184.00    0.135912E+00 1840.00    0.264306E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.105E+00186.00   -0.348907E-02 1860.00   -0.678516E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667    0.396E+01188.00    0.132017E+00 1880.00    0.256732E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333    0.394E+01190.00    0.131294E+00 1900.00    0.255326E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000    0.386E+01192.00    0.128789E+00 1920.00    0.250454E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667    0.382E+01194.00    0.127168E+00 1940.00    0.247302E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333    0.377E+01196.00    0.125819E+00 1960.00    0.244678E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000    0.377E+01198.00    0.125683E+00 1980.00    0.244415E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667    0.367E+01200.00    0.122430E+00 2000.00    0.238089E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333    0.364E+01202.00    0.121182E+00 2020.00    0.235660E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000    0.359E+01204.00    0.119744E+00 2040.00    0.232864E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667    0.356E+01206.00    0.118601E+00 2060.00    0.230642E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333    0.351E+01208.00    0.116980E+00 2080.00    0.227490E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000    0.345E+01210.00    0.115116E+00 2100.00    0.223864E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0667    0.348E+01212.00    0.115921E+00 2120.00    0.225431E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.1333    0.335E+01214.00    0.111654E+00 2140.00    0.217133E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000    0.337E+01216.00    0.112190E+00 2160.00    0.218175E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2667    0.345E+01218.00    0.115113E+00 2180.00    0.223859E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3333   -0.860E-01220.00   -0.286527E-02 2200.00   -0.557205E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000    0.326E+01222.00    0.108806E+00 2220.00    0.211594E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4667    0.322E+01224.00    0.107318E+00 2240.00    0.208700E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5333    0.320E+01226.00    0.106527E+00 2260.00    0.207162E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000    0.316E+01228.00    0.105377E+00 2280.00    0.204925E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6667    0.321E+01230.00    0.106944E+00 2300.00    0.207973E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7333    0.309E+01232.00    0.102964E+00 2320.00    0.200233E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000    0.306E+01234.00    0.101846E+00 2340.00    0.198059E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8667    0.308E+01236.00    0.102621E+00 2360.00    0.199566E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9333    0.296E+01238.00    0.986022E-01 2380.00    0.191751E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
