 
 # along tip axis: rho=0, s=   150.000000000000     
 -1.00   -0.171249E-02   -0.0333   -0.514E-01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 -0.50   -0.342519E-02   -0.0167   -0.103E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.00   -0.340817E-02    0.0000   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.50   -0.339123E-02    0.0167   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.00   -0.339148E-02    0.0333   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.50   -0.339181E-02    0.0500   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.00   -0.339220E-02    0.0667   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.50   -0.339267E-02    0.0833   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.00   -0.339321E-02    0.1000   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.50   -0.339383E-02    0.1167   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.00   -0.339451E-02    0.1333   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.50   -0.339527E-02    0.1500   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.00   -0.339610E-02    0.1667   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.50   -0.339701E-02    0.1833   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.00   -0.339798E-02    0.2000   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.50   -0.339903E-02    0.2167   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  7.00   -0.340015E-02    0.2333   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  7.50   -0.340134E-02    0.2500   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  8.00   -0.340261E-02    0.2667   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  8.50   -0.340395E-02    0.2833   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  9.00   -0.340537E-02    0.3000   -0.102E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
