    5.0000   -0.135E+00150.00   -0.448624E-02 1500.00   -0.872434E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.494E+01152.00    0.164760E+00 1520.00    0.320406E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.130E+00154.00   -0.434829E-02 1540.00   -0.845608E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.483E+01156.00    0.160963E+00 1560.00    0.313024E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.468E+01158.00    0.156093E+00 1580.00    0.303553E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.463E+01160.00    0.154308E+00 1600.00    0.300081E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.460E+01162.00    0.153465E+00 1620.00    0.298441E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.451E+01164.00    0.150370E+00 1640.00    0.292423E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.417E+01166.00    0.139048E+00 1660.00    0.270405E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.441E+01168.00    0.146851E+00 1680.00    0.285580E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.435E+01170.00    0.145047E+00 1700.00    0.282071E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.428E+01172.00    0.142589E+00 1720.00    0.277290E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.421E+01174.00    0.140303E+00 1740.00    0.272846E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.417E+01176.00    0.138964E+00 1760.00    0.270242E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.412E+01178.00    0.137314E+00 1780.00    0.267033E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.405E+01180.00    0.134898E+00 1800.00    0.262334E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667    0.399E+01182.00    0.132956E+00 1820.00    0.258557E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333    0.396E+01184.00    0.131840E+00 1840.00    0.256388E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.104E+00186.00   -0.347907E-02 1860.00   -0.676571E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667    0.385E+01188.00    0.128238E+00 1880.00    0.249382E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333    0.383E+01190.00    0.127605E+00 1900.00    0.248153E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000    0.376E+01192.00    0.125236E+00 1920.00    0.243544E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667    0.371E+01194.00    0.123712E+00 1940.00    0.240582E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333    0.367E+01196.00    0.122458E+00 1960.00    0.238143E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000    0.367E+01198.00    0.122400E+00 1980.00    0.238030E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667    0.358E+01200.00    0.119276E+00 2000.00    0.231954E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333    0.354E+01202.00    0.118098E+00 2020.00    0.229664E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000    0.350E+01204.00    0.116750E+00 2040.00    0.227043E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667    0.347E+01206.00    0.115718E+00 2060.00    0.225036E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333    0.342E+01208.00    0.114160E+00 2080.00    0.222005E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000    0.337E+01210.00    0.112379E+00 2100.00    0.218541E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0667    0.340E+01212.00    0.113214E+00 2120.00    0.220166E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.1333    0.327E+01214.00    0.109091E+00 2140.00    0.212148E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000    0.329E+01216.00    0.109666E+00 2160.00    0.213266E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2667    0.337E+01218.00    0.112266E+00 2180.00    0.218322E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3333   -0.858E-01220.00   -0.285840E-02 2200.00   -0.555871E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000    0.319E+01222.00    0.106450E+00 2220.00    0.207012E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4667    0.315E+01224.00    0.105048E+00 2240.00    0.204286E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5333    0.313E+01226.00    0.104316E+00 2260.00    0.202863E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000    0.310E+01228.00    0.103221E+00 2280.00    0.200732E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6667    0.314E+01230.00    0.104830E+00 2300.00    0.203862E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7333    0.303E+01232.00    0.100914E+00 2320.00    0.196246E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000    0.300E+01234.00    0.998349E-01 2340.00    0.194148E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8667    0.305E+01236.00    0.101716E+00 2360.00    0.197805E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9333    0.293E+01238.00    0.977478E-01 2380.00    0.190089E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000    0.295E+01240.00    0.981716E-01 2400.00    0.190913E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0667    0.288E+01242.00    0.959797E-01 2420.00    0.186651E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1333    0.287E+01244.00    0.956208E-01 2440.00    0.185953E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2000    0.285E+01246.00    0.948404E-01 2460.00    0.184435E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2667    0.296E+01248.00    0.988312E-01 2480.00    0.192196E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.3333    0.297E+01250.00    0.990837E-01 2500.00    0.192687E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
