    5.0000   -0.105E+00150.00   -0.348564E-02 1500.00   -0.677849E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667   -0.291E+02152.00   -0.970196E+00 1520.00   -0.188673E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.100E+00154.00   -0.334523E-02 1540.00   -0.650543E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000   -0.291E+02156.00   -0.970607E+00 1560.00   -0.188753E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667   -0.295E+02158.00   -0.981901E+00 1580.00   -0.190949E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333   -0.294E+02160.00   -0.980891E+00 1600.00   -0.190753E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000   -0.294E+02162.00   -0.981265E+00 1620.00   -0.190826E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667   -0.296E+02164.00   -0.987041E+00 1640.00   -0.191949E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333   -0.285E+02166.00   -0.951520E+00 1660.00   -0.185041E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000   -0.298E+02168.00   -0.992510E+00 1680.00   -0.193012E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667   -0.297E+02170.00   -0.988794E+00 1700.00   -0.192290E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333   -0.298E+02172.00   -0.994132E+00 1720.00   -0.193328E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000   -0.298E+02174.00   -0.991883E+00 1740.00   -0.192890E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667   -0.298E+02176.00   -0.994289E+00 1760.00   -0.193358E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333   -0.298E+02178.00   -0.994877E+00 1780.00   -0.193473E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000   -0.298E+02180.00   -0.994667E+00 1800.00   -0.193432E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667   -0.298E+02182.00   -0.993755E+00 1820.00   -0.193255E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333   -0.298E+02184.00   -0.992907E+00 1840.00   -0.193090E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.743E-01186.00   -0.247624E-02 1860.00   -0.481552E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667   -0.298E+02188.00   -0.994787E+00 1880.00   -0.193455E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333   -0.298E+02190.00   -0.994778E+00 1900.00   -0.193453E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000   -0.298E+02192.00   -0.992530E+00 1920.00   -0.193016E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667   -0.299E+02194.00   -0.995601E+00 1940.00   -0.193614E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333   -0.299E+02196.00   -0.995150E+00 1960.00   -0.193526E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000   -0.299E+02198.00   -0.996779E+00 1980.00   -0.193843E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667   -0.297E+02200.00   -0.990949E+00 2000.00   -0.192709E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333   -0.297E+02202.00   -0.990732E+00 2020.00   -0.192667E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000   -0.298E+02204.00   -0.991979E+00 2040.00   -0.192909E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667   -0.297E+02206.00   -0.989374E+00 2060.00   -0.192403E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333   -0.295E+02208.00   -0.984679E+00 2080.00   -0.191490E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000   -0.298E+02210.00   -0.992369E+00 2100.00   -0.192985E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0667   -0.295E+02212.00   -0.984173E+00 2120.00   -0.191391E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.1333   -0.294E+02214.00   -0.981495E+00 2140.00   -0.190870E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000   -0.295E+02216.00   -0.981735E+00 2160.00   -0.190917E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2667   -0.284E+02218.00   -0.947472E+00 2180.00   -0.184254E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3333   -0.564E-01220.00   -0.187965E-02 2200.00   -0.365533E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000   -0.293E+02222.00   -0.978156E+00 2220.00   -0.190221E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4667   -0.293E+02224.00   -0.975368E+00 2240.00   -0.189679E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5333   -0.293E+02226.00   -0.976478E+00 2260.00   -0.189895E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000   -0.292E+02228.00   -0.974761E+00 2280.00   -0.189561E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6667   -0.298E+02230.00   -0.993059E+00 2300.00   -0.193119E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7333   -0.289E+02232.00   -0.964917E+00 2320.00   -0.187646E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000   -0.290E+02234.00   -0.966084E+00 2340.00   -0.187873E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8667   -0.288E+02236.00   -0.958691E+00 2360.00   -0.186436E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9333   -0.289E+02238.00   -0.963186E+00 2380.00   -0.187310E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000   -0.287E+02240.00   -0.957996E+00 2400.00   -0.186300E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0667   -0.289E+02242.00   -0.961690E+00 2420.00   -0.187019E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1333   -0.287E+02244.00   -0.957532E+00 2440.00   -0.186210E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2000   -0.288E+02246.00   -0.959703E+00 2460.00   -0.186632E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2667   -0.284E+02248.00   -0.946988E+00 2480.00   -0.184160E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
