  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.50000E+00    0.50000E+00     1     1     1
    0.98191E+00    0.50000E+00     2     1     1
    0.14686E+01    0.50000E+00     3     1     1
    0.19602E+01    0.50000E+00     4     1     1
    0.24568E+01    0.50000E+00     5     1     1
    0.29582E+01    0.50000E+00     6     1     1
    0.34647E+01    0.50000E+00     7     1     1
    0.39763E+01    0.50000E+00     8     1     1
    0.44930E+01    0.50000E+00     9     1     1
    0.50148E+01    0.50000E+00    10     1     1
    0.55419E+01    0.98191E+00    11     2     1
    0.60742E+01    0.98191E+00    12     2     1
    0.66119E+01    0.98191E+00    13     2     1
    0.71549E+01    0.98191E+00    14     2     1
    0.77034E+01    0.14686E+01    15     3     1
    0.82573E+01    0.14686E+01    16     3     1
    0.88168E+01    0.14686E+01    17     3     1
    0.93819E+01    0.19602E+01    18     4     1
    0.99526E+01    0.19602E+01    19     4     1
    0.10529E+02    0.19602E+01    20     4     1
    0.11111E+02    0.24568E+01    21     5     1
    0.11699E+02    0.24568E+01    22     5     1
    0.12293E+02    0.29582E+01    23     6     1
    0.12893E+02    0.29582E+01    24     6     1
    0.13499E+02    0.34647E+01    25     7     1
    0.14111E+02    0.39763E+01    26     8     1
    0.14729E+02    0.39763E+01    27     8     1
    0.15353E+02    0.44930E+01    28     9     1
    0.15983E+02    0.50148E+01    29    10     1
    0.16620E+02    0.55419E+01    30    11     1
    0.17263E+02    0.55419E+01    31    11     1
    0.17913E+02    0.60742E+01    32    12     1
    0.18569E+02    0.66119E+01    33    13     1
    0.19231E+02    0.71549E+01    34    14     1
    0.19901E+02    0.77034E+01    35    15     1
    0.20577E+02    0.82573E+01    36    16     1
    0.21259E+02    0.93819E+01    37    18     1
    0.21949E+02    0.99526E+01    38    19     1
    0.22645E+02    0.10529E+02    39    20     1
    0.23349E+02    0.11699E+02    40    22     1
    0.24059E+02    0.12293E+02    41    23     1
    0.24776E+02    0.13499E+02    42    25     1
    0.25501E+02    0.14729E+02    43    27     1
    0.26233E+02    0.15983E+02    44    29     1
    0.26972E+02    0.17263E+02    45    31     1
    0.27719E+02    0.18569E+02    46    33     1
    0.28473E+02    0.20577E+02    47    36     1
    0.29235E+02    0.23349E+02    48    40     1






    0.29235E+02    0.37283E+02    48    58     1
    0.28473E+02    0.39858E+02    47    61     1
    0.27719E+02    0.41617E+02    46    63     1
    0.26972E+02    0.43412E+02    45    65     1
    0.26233E+02    0.45244E+02    44    67     1
    0.25501E+02    0.46173E+02    43    68     1
    0.24776E+02    0.47112E+02    42    69     1
    0.24059E+02    0.48060E+02    41    70     1
    0.23349E+02    0.49017E+02    40    71     1
    0.22645E+02    0.49984E+02    39    72     1
    0.21949E+02    0.50961E+02    38    73     1
    0.21259E+02    0.51948E+02    37    74     1
    0.20577E+02    0.51948E+02    36    74     1
    0.19901E+02    0.52944E+02    35    75     1
    0.19231E+02    0.53950E+02    34    76     1
    0.18569E+02    0.53950E+02    33    76     1
    0.17913E+02    0.54967E+02    32    77     1
    0.17263E+02    0.54967E+02    31    77     1
    0.16620E+02    0.55993E+02    30    78     1
    0.15983E+02    0.55993E+02    29    78     1
    0.15353E+02    0.55993E+02    28    78     1
    0.14729E+02    0.57030E+02    27    79     1
    0.14111E+02    0.57030E+02    26    79     1
    0.13499E+02    0.57030E+02    25    79     1
    0.12893E+02    0.58077E+02    24    80     1
    0.12293E+02    0.58077E+02    23    80     1
    0.11699E+02    0.58077E+02    22    80     1
    0.11111E+02    0.58077E+02    21    80     1
    0.10529E+02    0.59135E+02    20    81     1
    0.99526E+01    0.59135E+02    19    81     1
    0.93819E+01    0.59135E+02    18    81     1
    0.88168E+01    0.59135E+02    17    81     1
    0.82573E+01    0.59135E+02    16    81     1
    0.77034E+01    0.59135E+02    15    81     1
    0.71549E+01    0.59135E+02    14    81     1
    0.66119E+01    0.60203E+02    13    82     1
    0.60742E+01    0.60203E+02    12    82     1
    0.55419E+01    0.60203E+02    11    82     1
    0.50148E+01    0.60203E+02    10    82     1
    0.44930E+01    0.60203E+02     9    82     1
    0.39763E+01    0.60203E+02     8    82     1
    0.34647E+01    0.60203E+02     7    82     1
    0.29582E+01    0.60203E+02     6    82     1
    0.24568E+01    0.60203E+02     5    82     1
    0.19602E+01    0.60203E+02     4    82     1
    0.14686E+01    0.60203E+02     3    82     1
    0.98191E+00    0.60203E+02     2    82     1
    0.50000E+00    0.60203E+02     1    82     1
