    5.0000   -0.135E+00150.00   -0.450609E-02 1500.00   -0.876295E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.530E+01152.00    0.176605E+00 1520.00    0.343443E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.131E+00154.00   -0.436705E-02 1540.00   -0.849257E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.519E+01156.00    0.173082E+00 1560.00    0.336592E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.504E+01158.00    0.167884E+00 1580.00    0.326482E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.494E+01160.00    0.164687E+00 1600.00    0.320266E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.497E+01162.00    0.165806E+00 1620.00    0.322441E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.486E+01164.00    0.161867E+00 1640.00    0.314780E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.428E+01166.00    0.142534E+00 1660.00    0.277185E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.470E+01168.00    0.156744E+00 1680.00    0.304818E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.467E+01170.00    0.155763E+00 1700.00    0.302911E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.458E+01172.00    0.152802E+00 1720.00    0.297153E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.455E+01174.00    0.151618E+00 1740.00    0.294851E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.447E+01176.00    0.148844E+00 1760.00    0.289456E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.435E+01178.00    0.144857E+00 1780.00    0.281702E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.433E+01180.00    0.144488E+00 1800.00    0.280984E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667    0.429E+01182.00    0.143008E+00 1820.00    0.278105E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333    0.425E+01184.00    0.141782E+00 1840.00    0.275723E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.105E+00186.00   -0.349159E-02 1860.00   -0.679005E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667    0.408E+01188.00    0.136061E+00 1880.00    0.264596E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333    0.408E+01190.00    0.135926E+00 1900.00    0.264333E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000    0.400E+01192.00    0.133339E+00 1920.00    0.259302E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667    0.395E+01194.00    0.131741E+00 1940.00    0.256195E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333    0.391E+01196.00    0.130253E+00 1960.00    0.253302E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000    0.391E+01198.00    0.130181E+00 1980.00    0.253161E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667    0.384E+01200.00    0.128095E+00 2000.00    0.249105E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333    0.379E+01202.00    0.126305E+00 2020.00    0.245624E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000    0.373E+01204.00    0.124351E+00 2040.00    0.241824E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667    0.365E+01206.00    0.121748E+00 2060.00    0.236762E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333    0.364E+01208.00    0.121496E+00 2080.00    0.236272E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000    0.358E+01210.00    0.119269E+00 2100.00    0.231942E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0667    0.362E+01212.00    0.120829E+00 2120.00    0.234975E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.1333    0.348E+01214.00    0.116042E+00 2140.00    0.225666E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000    0.347E+01216.00    0.115708E+00 2160.00    0.225016E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2667    0.366E+01218.00    0.121868E+00 2180.00    0.236995E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3333   -0.860E-01220.00   -0.286714E-02 2200.00   -0.557570E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000    0.340E+01222.00    0.113169E+00 2220.00    0.220078E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4667    0.333E+01224.00    0.111122E+00 2240.00    0.216098E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5333    0.331E+01226.00    0.110256E+00 2260.00    0.214415E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000    0.326E+01228.00    0.108699E+00 2280.00    0.211386E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6667    0.332E+01230.00    0.110528E+00 2300.00    0.214943E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7333    0.320E+01232.00    0.106757E+00 2320.00    0.207609E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000    0.317E+01234.00    0.105832E+00 2340.00    0.205810E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8667    0.321E+01236.00    0.106880E+00 2360.00    0.207848E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9333    0.307E+01238.00    0.102475E+00 2380.00    0.199281E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000    0.307E+01240.00    0.102488E+00 2400.00    0.199308E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0667    0.302E+01242.00    0.100553E+00 2420.00    0.195544E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.1333    0.299E+01244.00    0.997458E-01 2440.00    0.193975E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2000    0.298E+01246.00    0.992698E-01 2460.00    0.193049E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2667    0.335E+01248.00    0.111609E+00 2480.00    0.217045E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.3333    0.351E+01250.00    0.117086E+00 2500.00    0.227696E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
