 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  3.7658926E+03  7.5317852E+03
   5.20000  3.7649033E+03  7.5298066E+03
   5.40000  3.7639174E+03  7.5278347E+03
   5.60000  3.7629346E+03  7.5258693E+03
   5.80000  3.7619550E+03  7.5239099E+03
   6.00000  3.7609783E+03  7.5219565E+03
   6.20000  3.7600044E+03  7.5200088E+03
   6.40000  3.7590333E+03  7.5180667E+03
   6.60000  3.7580649E+03  7.5161299E+03
   6.80000  3.7570991E+03  7.5141983E+03
   7.00000  3.7561358E+03  7.5122717E+03
   7.20000  3.7551750E+03  7.5103500E+03
   7.40000  3.7542165E+03  7.5084330E+03
   7.60000  3.7532604E+03  7.5065207E+03
   7.80000  3.7523065E+03  7.5046129E+03
   8.00000  3.7513548E+03  7.5027096E+03
   8.20000  3.7504053E+03  7.5008105E+03
   8.40000  3.7494578E+03  7.4989157E+03
   8.60000  3.7485125E+03  7.4970249E+03
   8.80000  3.7475691E+03  7.4951382E+03
   9.00000  3.7466277E+03  7.4932555E+03
   9.20000  3.7456883E+03  7.4913766E+03
   9.40000  3.7447507E+03  7.4895015E+03
   9.60000  3.4942438E+23  6.9884875E+23
   9.80000  3.7920131E+23  7.5840262E+23
  10.00000  3.5076775E+23  7.0153550E+23
  10.20000  3.7335674E+23  7.4671347E+23
  10.40000  3.7794523E+23  7.5589045E+23
  10.60000  3.8742105E+23  7.7484210E+23
  10.80000  3.7382384E+03  7.4764768E+03
  11.00000  2.4786984E+23  4.9573968E+23
  11.20000  4.0581333E+23  8.1162666E+23
  11.40000  3.8667664E+23  7.7335327E+23
  11.60000  3.6611013E+23  7.3222026E+23
  11.80000  3.5778507E+23  7.1557015E+23
  12.00000  3.3400081E+23  6.6800162E+23
  12.20000  3.7318077E+03  7.4636153E+03
  12.40000  3.3402679E+23  6.6805359E+23
  12.60000  3.3235988E+23  6.6471975E+23
  12.80000  3.2528610E+23  6.5057220E+23
  13.00000  3.3491380E+23  6.6982759E+23
  13.20000  3.2937905E+23  6.5875810E+23
  13.40000  3.4723799E+23  6.9447598E+23
  13.60000  3.2944280E+23  6.5888560E+23
  13.80000  3.7245486E+03  7.4490972E+03
  14.00000  3.4255983E+23  6.8511966E+23
  14.20000  3.1072191E+23  6.2144382E+23
  14.40000  3.4856300E+23  6.9712600E+23
  14.60000  3.3850708E+23  6.7701415E+23
  14.80000  3.4541736E+23  6.9083472E+23
  15.00000  3.7493396E+23  7.4986791E+23
  15.20000  3.7182695E+03  7.4365390E+03
  15.40000  3.4834867E+23  6.9669734E+23
  15.60000  3.3566128E+23  6.7132255E+23
  15.80000  3.1025503E+23  6.2051005E+23
  16.00000  3.3433214E+23  6.6866427E+23
  16.20000  3.2709516E+23  6.5419032E+23
  16.40000  3.7447231E+23  7.4894461E+23
  16.60000  3.7120535E+03  7.4241070E+03
  16.80000  3.1155135E+23  6.2310271E+23
  17.00000  3.2466701E+23  6.4933401E+23
  17.20000  3.0449825E+23  6.0899649E+23
  17.40000  2.7145432E+23  5.4290865E+23
  17.60000  3.2196795E+23  6.4393590E+23
  17.80000  3.0851301E+23  6.1702603E+23
  18.00000  3.0561451E+23  6.1122901E+23
  18.20000  3.7050220E+03  7.4100440E+03
  18.40000  2.9994734E+23  5.9989468E+23
  18.60000  2.8615996E+23  5.7231993E+23
  18.80000  3.2346179E+23  6.4692359E+23
  19.00000  3.2675843E+23  6.5351686E+23
  19.20000  3.2302003E+23  6.4604007E+23
  19.40000  3.2701859E+23  6.5403717E+23
  19.60000  3.6989294E+03  7.3978589E+03
  19.80000  3.1712616E+23  6.3425232E+23
  20.00000  3.0518104E+23  6.1036207E+23
  20.20000  3.1497683E+23  6.2995367E+23
  20.40000  3.1239728E+23  6.2479456E+23
  20.60000  3.1544828E+23  6.3089657E+23
  20.80000  3.0726193E+23  6.1452386E+23
  21.00000  3.6928902E+03  7.3857804E+03
  21.20000  2.7925326E+23  5.5850652E+23
  21.40000  2.9535700E+23  5.9071400E+23
  21.60000  2.7583977E+23  5.5167954E+23
