    3.7500   -0.187E+00150.00   -0.467612E-02 1500.00   -0.909359E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    3.9000   -0.178E+00156.00   -0.445776E-02 1560.00   -0.866895E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.0500   -0.170E+00162.00   -0.425726E-02 1620.00   -0.827905E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.2000   -0.163E+00168.00   -0.407262E-02 1680.00   -0.791998E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.3500   -0.156E+00174.00   -0.390210E-02 1740.00   -0.758836E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.5000   -0.150E+00180.00   -0.374420E-02 1800.00   -0.728131E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.6500   -0.144E+00186.00   -0.359765E-02 1860.00   -0.699631E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.8000   -0.138E+00192.00   -0.346130E-02 1920.00   -0.673115E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    4.9500   -0.133E+00198.00   -0.333417E-02 1980.00   -0.648392E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1000   -0.129E+00204.00   -0.321539E-02 2040.00   -0.625294E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2500   -0.124E+00210.00   -0.310420E-02 2100.00   -0.603671E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000   -0.120E+00216.00   -0.299993E-02 2160.00   -0.583393E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5500   -0.116E+00222.00   -0.290197E-02 2220.00   -0.564343E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7000   -0.112E+00228.00   -0.280979E-02 2280.00   -0.546417E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8500   -0.109E+00234.00   -0.272291E-02 2340.00   -0.529521E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000   -0.106E+00240.00   -0.264090E-02 2400.00   -0.513573E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1500   -0.103E+00246.00   -0.256339E-02 2460.00   -0.498499E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3000   -0.996E-01252.00   -0.249002E-02 2520.00   -0.484231E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4500   -0.968E-01258.00   -0.242048E-02 2580.00   -0.470708E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000   -0.942E-01264.00   -0.235449E-02 2640.00   -0.457876E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
