 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  2.1820275E+00  4.3640551E+00
   5.06667  1.2961996E+22  2.5923991E+22
   5.13333  2.1777640E+00  4.3555279E+00
   5.20000  1.3278786E+22  2.6557572E+22
   5.26667  1.3343636E+22  2.6687273E+22
   5.33333  1.3435626E+22  2.6871253E+22
   5.40000  1.3733272E+22  2.7466544E+22
   5.46667  1.3820375E+22  2.7640751E+22
   5.53333  1.0537378E+22  2.1074756E+22
   5.60000  1.2045465E+22  2.4090931E+22
   5.66667  1.2769962E+22  2.5539925E+22
   5.73333  1.3336648E+22  2.6673297E+22
   5.80000  1.3117216E+22  2.6234432E+22
   5.86667  1.3192847E+22  2.6385693E+22
   5.93333  1.3097184E+22  2.6194368E+22
   6.00000  1.3106396E+22  2.6212793E+22
   6.06667  1.2812621E+22  2.5625242E+22
   6.13333  1.3099264E+22  2.6198528E+22
   6.20000  2.1497437E+00  4.2994875E+00
   6.26667  1.2570600E+22  2.5141200E+22
   6.33333  1.2567105E+22  2.5134210E+22
   6.40000  1.2833448E+22  2.5666897E+22
   6.46667  1.3055907E+22  2.6111814E+22
   6.53333  1.2840513E+22  2.5681027E+22
   6.60000  1.2924365E+22  2.5848730E+22
   6.66667  1.1267266E+22  2.2534532E+22
   6.73333  1.2000103E+22  2.4000206E+22
   6.80000  1.2308340E+22  2.4616680E+22
   6.86667  1.2725624E+22  2.5451248E+22
   6.93333  1.2530776E+22  2.5061552E+22
   7.00000  1.2886169E+22  2.5772337E+22
   7.06667  1.2739829E+22  2.5479658E+22
   7.13333  1.1684499E+22  2.3368997E+22
   7.20000  1.2252269E+22  2.4504537E+22
   7.26667  1.3073710E+22  2.6147420E+22
   7.33333  2.1283060E+00  4.2566120E+00
   7.40000  1.2026555E+22  2.4053111E+22
   7.46667  1.2127612E+22  2.4255225E+22
   7.53333  1.2505653E+22  2.5011305E+22
   7.60000  1.2292898E+22  2.4585797E+22
   7.66667  1.2447423E+22  2.4894846E+22
   7.73333  1.2079971E+22  2.4159941E+22
   7.80000  1.2220015E+22  2.4440031E+22
   7.86667  1.2186687E+22  2.4373375E+22
   7.93333  1.2421241E+22  2.4842482E+22
   8.00000  1.2531336E+22  2.5062671E+22
   8.06667  1.2643875E+22  2.5287750E+22
   8.13333  1.2890789E+22  2.5781578E+22
   8.20000  1.2974336E+22  2.5948672E+22
   8.26667  1.2286568E+22  2.4573137E+22
   8.33333  1.2513355E+22  2.5026709E+22
