    5.0000   -0.135E+00150.00   -0.448977E-02 1500.00   -0.873121E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.509E+01152.00    0.169535E+00 1520.00    0.329692E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.131E+00154.00   -0.435169E-02 1540.00   -0.846268E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.499E+01156.00    0.166474E+00 1560.00    0.323741E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.485E+01158.00    0.161530E+00 1580.00    0.314125E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.476E+01160.00    0.158573E+00 1600.00    0.308376E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.480E+01162.00    0.159855E+00 1620.00    0.310869E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.468E+01164.00    0.156063E+00 1640.00    0.303493E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.412E+01166.00    0.137236E+00 1660.00    0.266882E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.454E+01168.00    0.151415E+00 1680.00    0.294456E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.452E+01170.00    0.150595E+00 1700.00    0.292860E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.443E+01172.00    0.147820E+00 1720.00    0.287464E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.440E+01174.00    0.146762E+00 1740.00    0.285407E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.433E+01176.00    0.144188E+00 1760.00    0.280400E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.421E+01178.00    0.140424E+00 1780.00    0.273082E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.420E+01180.00    0.140120E+00 1800.00    0.272491E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667    0.416E+01182.00    0.138766E+00 1820.00    0.269857E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333    0.413E+01184.00    0.137654E+00 1840.00    0.267694E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.104E+00186.00   -0.348157E-02 1860.00   -0.677058E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
