    5.0000   -0.135E+00150.00   -0.448602E-02 1500.00   -0.872391E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667    0.503E+01152.00    0.167689E+00 1520.00    0.326102E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.130E+00154.00   -0.434804E-02 1540.00   -0.845559E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000    0.489E+01156.00    0.162860E+00 1560.00    0.316712E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667    0.469E+01158.00    0.156484E+00 1580.00    0.304313E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333    0.465E+01160.00    0.155154E+00 1600.00    0.301727E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000    0.457E+01162.00    0.152284E+00 1620.00    0.296145E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667    0.467E+01164.00    0.155771E+00 1640.00    0.302927E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333    0.450E+01166.00    0.150095E+00 1660.00    0.291888E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000    0.437E+01168.00    0.145607E+00 1680.00    0.283161E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667    0.436E+01170.00    0.145198E+00 1700.00    0.282365E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333    0.430E+01172.00    0.143197E+00 1720.00    0.278475E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000    0.421E+01174.00    0.140318E+00 1740.00    0.272876E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667    0.416E+01176.00    0.138667E+00 1760.00    0.269665E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333    0.411E+01178.00    0.137013E+00 1780.00    0.266448E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000    0.411E+01180.00    0.136916E+00 1800.00    0.266259E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667    0.403E+01182.00    0.134168E+00 1820.00    0.260916E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333    0.394E+01184.00    0.131475E+00 1840.00    0.255678E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.104E+00186.00   -0.347865E-02 1860.00   -0.676489E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667    0.383E+01188.00    0.127592E+00 1880.00    0.248126E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333    0.381E+01190.00    0.126872E+00 1900.00    0.246726E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000    0.378E+01192.00    0.126044E+00 1920.00    0.245117E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4667    0.371E+01194.00    0.123675E+00 1940.00    0.240510E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.5333    0.366E+01196.00    0.121948E+00 1960.00    0.237151E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000    0.314E+01198.00    0.104527E+00 1980.00    0.203272E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6667    0.358E+01200.00    0.119307E+00 2000.00    0.232015E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.7333    0.352E+01202.00    0.117367E+00 2020.00    0.228242E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000    0.358E+01204.00    0.119482E+00 2040.00    0.232356E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8667    0.346E+01206.00    0.115286E+00 2060.00    0.224196E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.9333    0.342E+01208.00    0.113993E+00 2080.00    0.221680E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000    0.338E+01210.00    0.112621E+00 2100.00    0.219013E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0667    0.331E+01212.00    0.110287E+00 2120.00    0.214475E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.1333    0.331E+01214.00    0.110456E+00 2140.00    0.214803E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000    0.331E+01216.00    0.110171E+00 2160.00    0.214247E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2667   -0.867E-01218.00   -0.288851E-02 2180.00   -0.561726E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.3333    0.318E+01220.00    0.106154E+00 2200.00    0.206436E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000    0.318E+01222.00    0.105839E+00 2220.00    0.205823E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4667    0.316E+01224.00    0.105447E+00 2240.00    0.205061E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.5333    0.309E+01226.00    0.102975E+00 2260.00    0.200254E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000    0.309E+01228.00    0.102966E+00 2280.00    0.200237E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6667    0.303E+01230.00    0.101031E+00 2300.00    0.196473E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.7333    0.302E+01232.00    0.100742E+00 2320.00    0.195912E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000    0.301E+01234.00    0.100406E+00 2340.00    0.195258E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8667    0.296E+01236.00    0.987433E-01 2360.00    0.192025E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.9333    0.294E+01238.00    0.979251E-01 2380.00    0.190434E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000    0.290E+01240.00    0.968189E-01 2400.00    0.188283E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
