    5.0000   -0.132E+00150.00   -0.438493E-02 1500.00   -0.852732E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000   -0.125E+00156.00   -0.418113E-02 1560.00   -0.813100E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000   -0.120E+00162.00   -0.399418E-02 1620.00   -0.776744E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000   -0.115E+00168.00   -0.382216E-02 1680.00   -0.743291E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000   -0.110E+00174.00   -0.366341E-02 1740.00   -0.712419E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000   -0.105E+00180.00   -0.351651E-02 1800.00   -0.683851E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.101E+00186.00   -0.338022E-02 1860.00   -0.657348E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000   -0.976E-01192.00   -0.325348E-02 1920.00   -0.632702E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.6000   -0.941E-01198.00   -0.313536E-02 1980.00   -0.609730E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.8000   -0.908E-01204.00   -0.302503E-02 2040.00   -0.588275E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.0000   -0.877E-01210.00   -0.292178E-02 2100.00   -0.568195E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.2000   -0.847E-01216.00   -0.282496E-02 2160.00   -0.549366E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.4000   -0.820E-01222.00   -0.273401E-02 2220.00   -0.531680E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.6000   -0.795E-01228.00   -0.264844E-02 2280.00   -0.515039E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    7.8000   -0.770E-01234.00   -0.256779E-02 2340.00   -0.499355E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.0000   -0.747E-01240.00   -0.249166E-02 2400.00   -0.484551E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.2000   -0.726E-01246.00   -0.241970E-02 2460.00   -0.470557E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.4000   -0.705E-01252.00   -0.235159E-02 2520.00   -0.457310E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.6000   -0.686E-01258.00   -0.228702E-02 2580.00   -0.444755E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.8000   -0.668E-01264.00   -0.222575E-02 2640.00   -0.432839E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
