    5.0000   -0.104E+00150.00   -0.347972E-02 1500.00   -0.676698E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.0667   -0.319E+02152.00   -0.106249E+01 1520.00   -0.206620E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.1333   -0.100E+00154.00   -0.333944E-02 1540.00   -0.649418E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2000   -0.319E+02156.00   -0.106331E+01 1560.00   -0.206780E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.2667   -0.322E+02158.00   -0.107423E+01 1580.00   -0.208905E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.3333   -0.322E+02160.00   -0.107202E+01 1600.00   -0.208474E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4000   -0.323E+02162.00   -0.107585E+01 1620.00   -0.209220E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.4667   -0.325E+02164.00   -0.108211E+01 1640.00   -0.210438E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.5333   -0.293E+02166.00   -0.977691E+00 1660.00   -0.190131E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6000   -0.325E+02168.00   -0.108280E+01 1680.00   -0.210571E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.6667   -0.324E+02170.00   -0.108144E+01 1700.00   -0.210307E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.7333   -0.326E+02172.00   -0.108727E+01 1720.00   -0.211440E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8000   -0.326E+02174.00   -0.108508E+01 1740.00   -0.211015E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.8667   -0.326E+02176.00   -0.108746E+01 1760.00   -0.211478E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    5.9333   -0.326E+02178.00   -0.108696E+01 1780.00   -0.211380E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0000   -0.326E+02180.00   -0.108781E+01 1800.00   -0.211545E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.0667   -0.326E+02182.00   -0.108701E+01 1820.00   -0.211390E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.1333   -0.326E+02184.00   -0.108615E+01 1840.00   -0.211223E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2000   -0.741E-01186.00   -0.247145E-02 1860.00   -0.480620E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.2667   -0.326E+02188.00   -0.108591E+01 1880.00   -0.211175E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.3333   -0.326E+02190.00   -0.108635E+01 1900.00   -0.211262E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    6.4000   -0.325E+02192.00   -0.108292E+01 1920.00   -0.210595E-02 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
