  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.50000E+00    0.50000E+00     1     1     1
    0.10000E+01    0.50000E+00     2     1     1
    0.15000E+01    0.50000E+00     3     1     1
    0.20000E+01    0.50000E+00     4     1     1
    0.25000E+01    0.50000E+00     5     1     1
    0.30000E+01    0.50000E+00     6     1     1
    0.35000E+01    0.50000E+00     7     1     1
    0.40000E+01    0.50000E+00     8     1     1
    0.45000E+01    0.50000E+00     9     1     1
    0.50000E+01    0.50000E+00    10     1     1
    0.55000E+01    0.10000E+01    11     2     1
    0.60000E+01    0.10000E+01    12     2     1
    0.65000E+01    0.10000E+01    13     2     1
    0.70000E+01    0.10000E+01    14     2     1
    0.75000E+01    0.10000E+01    15     2     1
    0.80000E+01    0.15000E+01    16     3     1
    0.85000E+01    0.15000E+01    17     3     1
    0.90000E+01    0.15000E+01    18     3     1
    0.95000E+01    0.20000E+01    19     4     1
    0.10000E+02    0.20000E+01    20     4     1
    0.10500E+02    0.20000E+01    21     4     1
    0.11000E+02    0.25000E+01    22     5     1
    0.11500E+02    0.25000E+01    23     5     1
    0.12000E+02    0.30000E+01    24     6     1
    0.12500E+02    0.30000E+01    25     6     1
    0.13000E+02    0.30000E+01    26     6     1
    0.13500E+02    0.35000E+01    27     7     1
    0.14000E+02    0.35000E+01    28     7     1
    0.14500E+02    0.40000E+01    29     8     1
    0.15000E+02    0.45000E+01    30     9     1
    0.15500E+02    0.45000E+01    31     9     1
    0.16000E+02    0.50000E+01    32    10     1
    0.16500E+02    0.50000E+01    33    10     1
    0.17000E+02    0.55000E+01    34    11     1
    0.17500E+02    0.60000E+01    35    12     1
    0.18000E+02    0.60000E+01    36    12     1
    0.18500E+02    0.65000E+01    37    13     1
    0.19000E+02    0.70000E+01    38    14     1
    0.19500E+02    0.75000E+01    39    15     1
    0.20000E+02    0.80000E+01    40    16     1
    0.20500E+02    0.85000E+01    41    17     1
    0.21000E+02    0.90000E+01    42    18     1
    0.21500E+02    0.95000E+01    43    19     1
    0.22000E+02    0.10000E+02    44    20     1
    0.22500E+02    0.10500E+02    45    21     1
    0.23000E+02    0.11000E+02    46    22     1
    0.23500E+02    0.11500E+02    47    23     1
    0.24000E+02    0.12000E+02    48    24     1
    0.24500E+02    0.13000E+02    49    26     1
    0.25000E+02    0.13500E+02    50    27     1
    0.25500E+02    0.14500E+02    51    29     1
    0.26000E+02    0.15500E+02    52    31     1
    0.26500E+02    0.16000E+02    53    32     1
    0.27000E+02    0.17000E+02    54    34     1
    0.27500E+02    0.18500E+02    55    37     1
    0.28000E+02    0.19500E+02    56    39     1
    0.28500E+02    0.21000E+02    57    42     1
    0.29000E+02    0.22500E+02    58    45     1
    0.29500E+02    0.25000E+02    59    50     1






    0.29500E+02    0.35500E+02    59    71     1
    0.29000E+02    0.38000E+02    58    76     1
    0.28500E+02    0.39500E+02    57    79     1
    0.28000E+02    0.41000E+02    56    82     1
    0.27500E+02    0.42000E+02    55    84     1
    0.27000E+02    0.43500E+02    54    87     1
    0.26500E+02    0.44500E+02    53    89     1
    0.26000E+02    0.45000E+02    52    90     1
    0.25500E+02    0.46000E+02    51    92     1
    0.25000E+02    0.47000E+02    50    94     1
    0.24500E+02    0.47500E+02    49    95     1
    0.24000E+02    0.48000E+02    48    96     1
    0.23500E+02    0.49000E+02    47    98     1
    0.23000E+02    0.49500E+02    46    99     1
    0.22500E+02    0.50000E+02    45   100     1
    0.22000E+02    0.50496E+02    44   101     1
    0.21500E+02    0.50998E+02    43   102     1
    0.21000E+02    0.51506E+02    42   103     1
    0.20500E+02    0.52019E+02    41   104     1
    0.20000E+02    0.52538E+02    40   105     1
    0.19500E+02    0.53063E+02    39   106     1
    0.19000E+02    0.53594E+02    38   107     1
    0.18500E+02    0.54131E+02    37   108     1
    0.18000E+02    0.54131E+02    36   108     1
    0.17500E+02    0.54673E+02    35   109     1
    0.17000E+02    0.55222E+02    34   110     1
    0.16500E+02    0.55222E+02    33   110     1
    0.16000E+02    0.55777E+02    32   111     1
    0.15500E+02    0.55777E+02    31   111     1
    0.15000E+02    0.56338E+02    30   112     1
    0.14500E+02    0.56338E+02    29   112     1
    0.14000E+02    0.56906E+02    28   113     1
    0.13500E+02    0.56906E+02    27   113     1
    0.13000E+02    0.57479E+02    26   114     1
    0.12500E+02    0.57479E+02    25   114     1
    0.12000E+02    0.58060E+02    24   115     1
    0.11500E+02    0.58060E+02    23   115     1
    0.11000E+02    0.58060E+02    22   115     1
    0.10500E+02    0.58646E+02    21   116     1
    0.10000E+02    0.58646E+02    20   116     1
    0.95000E+01    0.58646E+02    19   116     1
    0.90000E+01    0.58646E+02    18   116     1
    0.85000E+01    0.59240E+02    17   117     1
    0.80000E+01    0.59240E+02    16   117     1
    0.75000E+01    0.59240E+02    15   117     1
    0.70000E+01    0.59240E+02    14   117     1
    0.65000E+01    0.59840E+02    13   118     1
    0.60000E+01    0.59840E+02    12   118     1
    0.55000E+01    0.59840E+02    11   118     1
    0.50000E+01    0.59840E+02    10   118     1
    0.45000E+01    0.59840E+02     9   118     1
    0.40000E+01    0.59840E+02     8   118     1
    0.35000E+01    0.59840E+02     7   118     1
    0.30000E+01    0.60446E+02     6   119     1
    0.25000E+01    0.60446E+02     5   119     1
    0.20000E+01    0.60446E+02     4   119     1
    0.15000E+01    0.60446E+02     3   119     1
    0.10000E+01    0.60446E+02     2   119     1
    0.50000E+00    0.60446E+02     1   119     1
