 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0235703E+03  2.0471405E+03
   5.06667  1.2832380E+22  2.5664760E+22
   5.13333  1.0233342E+03  2.0466684E+03
   5.20000  1.3146002E+22  2.6292004E+22
   5.26667  1.3210203E+22  2.6420407E+22
   5.33333  1.3301273E+22  2.6602547E+22
   5.40000  1.3595943E+22  2.7191886E+22
   5.46667  1.3682174E+22  2.7364349E+22
   5.53333  1.0432009E+22  2.0864018E+22
   5.60000  1.1925013E+22  2.3850027E+22
   5.66667  1.2642266E+22  2.5284533E+22
   5.73333  1.3203285E+22  2.6406569E+22
   5.80000  1.2986047E+22  2.5972093E+22
   5.86667  1.3060922E+22  2.6121843E+22
   5.93333  1.2966215E+22  2.5932431E+22
   6.00000  1.2975335E+22  2.5950670E+22
   6.06667  1.2684498E+22  2.5368995E+22
   6.13333  1.2968274E+22  2.5936548E+22
   6.20000  1.0214979E+03  2.0429958E+03
   6.26667  1.2444897E+22  2.4889794E+22
   6.33333  1.2441436E+22  2.4882873E+22
   6.40000  1.2705116E+22  2.5410232E+22
   6.46667  1.2925350E+22  2.5850700E+22
   6.53333  1.2712111E+22  2.5424222E+22
   6.60000  1.2795123E+22  2.5590246E+22
   6.66667  1.1154596E+22  2.2309192E+22
   6.73333  1.1880104E+22  2.3760208E+22
   6.80000  1.2185259E+22  2.4370518E+22
   6.86667  1.2598370E+22  2.5196740E+22
   6.93333  1.2405470E+22  2.4810940E+22
   7.00000  1.2757309E+22  2.5514617E+22
   7.06667  1.2612433E+22  2.5224865E+22
   7.13333  1.1567655E+22  2.3135310E+22
   7.20000  1.2129747E+22  2.4259494E+22
   7.26667  1.2942974E+22  2.5885949E+22
   7.33333  1.0196337E+03  2.0392675E+03
   7.40000  1.1906291E+22  2.3812583E+22
   7.46667  1.2006338E+22  2.4012675E+22
   7.53333  1.2380597E+22  2.4761194E+22
   7.60000  1.2169970E+22  2.4339940E+22
   7.66667  1.2322949E+22  2.4645898E+22
   7.73333  1.1959172E+22  2.3918344E+22
   7.80000  1.2097816E+22  2.4195633E+22
   7.86667  1.2064821E+22  2.4129642E+22
   7.93333  1.2297029E+22  2.4594058E+22
   8.00000  1.2406023E+22  2.4812046E+22
   8.06667  1.2517437E+22  2.5034873E+22
   8.13333  1.2761882E+22  2.5523763E+22
   8.20000  1.2844593E+22  2.5689185E+22
   8.26667  1.2163701E+22  2.4327403E+22
   8.33333  1.2388220E+22  2.4776440E+22
