 #  Z/R                U/pie0RV2                  C/pie0R
   5.00000  1.0235709E+03  2.0471417E+03
   5.06667  2.6795917E+22  5.3591835E+22
   5.13333  1.0233348E+03  2.0466696E+03
   5.20000  2.6142841E+22  5.2285682E+22
   5.26667  2.6873649E+22  5.3747299E+22
   5.33333  2.7303148E+22  5.4606297E+22
   5.40000  2.7593408E+22  5.5186817E+22
   5.46667  2.6367345E+22  5.2734689E+22
   5.53333  2.2025862E+22  4.4051725E+22
   5.60000  2.4774153E+22  4.9548306E+22
   5.66667  2.6744039E+22  5.3488078E+22
   5.73333  2.6458738E+22  5.2917476E+22
   5.80000  2.6250417E+22  5.2500834E+22
   5.86667  2.5859443E+22  5.1718885E+22
   5.93333  2.6091151E+22  5.2182302E+22
   6.00000  2.5859129E+22  5.1718258E+22
   6.06667  2.5503658E+22  5.1007316E+22
   6.13333  2.6172383E+22  5.2344767E+22
   6.20000  1.0214985E+03  2.0429970E+03
   6.26667  2.5245248E+22  5.0490496E+22
   6.33333  2.5488327E+22  5.0976653E+22
   6.40000  2.5475628E+22  5.0951257E+22
   6.46667  2.5617295E+22  5.1234590E+22
   6.53333  2.5904830E+22  5.1809660E+22
   6.60000  2.3731097E+22  4.7462193E+22
   6.66667  2.3619865E+22  4.7239730E+22
   6.73333  2.4538028E+22  4.9076056E+22
   6.80000  2.3862590E+22  4.7725181E+22
   6.86667  2.5316415E+22  5.0632831E+22
   6.93333  2.5065673E+22  5.0131346E+22
   7.00000  2.5194306E+22  5.0388613E+22
   7.06667  2.5028526E+22  5.0057051E+22
   7.13333  2.4237159E+22  4.8474317E+22
   7.20000  2.5948507E+22  5.1897014E+22
   7.26667  1.0197418E+03  2.0394835E+03
   7.33333  2.4996323E+22  4.9992645E+22
   7.40000  2.4146199E+22  4.8292399E+22
   7.46667  2.5038636E+22  5.0077273E+22
   7.53333  2.4364480E+22  4.8728961E+22
   7.60000  2.4042013E+22  4.8084027E+22
   7.66667  2.4441172E+22  4.8882344E+22
   7.73333  2.4771487E+22  4.9542973E+22
   7.80000  2.4845084E+22  4.9690168E+22
   7.86667  2.4744906E+22  4.9489811E+22
   7.93333  2.4960753E+22  4.9921506E+22
   8.00000  2.5047639E+22  5.0095278E+22
   8.06667  2.5659599E+22  5.1319199E+22
   8.13333  2.5892279E+22  5.1784559E+22
   8.20000  2.5740853E+22  5.1481706E+22
   8.26667  2.5489031E+22  5.0978061E+22
   8.33333  2.5364259E+22  5.0728518E+22
